Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,101,966,1276,633,2875,62.91
President and Vice President,Donald J. Trump,REP,103,200,281,108,589,62.20
President and Vice President,Donald J. Trump,REP,107,245,333,363,941,67.75
President and Vice President,Donald J. Trump,REP,111,251,320,106,677,56.75
President and Vice President,Donald J. Trump,REP,117,1176,1851,907,3934,58.92
President and Vice President,Donald J. Trump,REP,119,345,337,307,989,63.44
President and Vice President,Donald J. Trump,REP,121,927,1397,464,2788,63.38
President and Vice President,Donald J. Trump,REP,123,665,1152,242,2059,56.43
President and Vice President,Donald J. Trump,REP,125,464,688,142,1294,63.68
President and Vice President,Donald J. Trump,REP,127,1250,1735,613,3598,64.26
President and Vice President,Donald J. Trump,REP,129,321,210,314,845,65.15
President and Vice President,Donald J. Trump,REP,131,770,975,576,2321,56.62
President and Vice President,Donald J. Trump,REP,133,197,127,217,541,61.48
President and Vice President,Donald J. Trump,REP,135,1371,1603,674,3648,65.40
President and Vice President,Donald J. Trump,REP,137,1041,1610,568,3219,68.23
President and Vice President,Donald J. Trump,REP,139,1711,2551,833,5095,68.30
President and Vice President,Donald J. Trump,REP,141,142,132,223,497,82.97
President and Vice President,Donald J. Trump,REP,201,426,399,213,1038,59.38
President and Vice President,Donald J. Trump,REP,203,269,342,167,778,63.72
President and Vice President,Donald J. Trump,REP,205,-,-,-,76,8.07
President and Vice President,Donald J. Trump,REP,207,515,513,198,1226,53.51
President and Vice President,Donald J. Trump,REP,209,161,210,91,462,28.19
President and Vice President,Donald J. Trump,REP,211,337,537,171,1045,66.60
President and Vice President,Donald J. Trump,REP,213,571,478,331,1380,37.49
President and Vice President,Donald J. Trump,REP,215,142,167,280,589,36.61
President and Vice President,Donald J. Trump,REP,217,550,461,380,1391,48.62
President and Vice President,Donald J. Trump,REP,219,543,362,381,1286,48.60
President and Vice President,Donald J. Trump,REP,221,610,438,448,1496,49.82
President and Vice President,Donald J. Trump,REP,223,170,172,135,477,23.87
President and Vice President,Donald J. Trump,REP,301,162,64,222,448,53.65
