Contest,Candidate Issue,Party,Precinct Name,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,Precinct 1,2129,54.48
President and Vice President,Donald J. Trump,REP,Precinct 3,1547,55.45
President and Vice President,Donald J. Trump,REP,Precinct 5,1824,72.04
President and Vice President,Donald J. Trump,REP,Precinct 6,992,70.86
President and Vice President,Donald J. Trump,REP,Precinct 7,3747,72.84
President and Vice President,Donald J. Trump,REP,Precinct 11,765,81.91
President and Vice President,Donald J. Trump,REP,Precinct 14,275,17.44
President and Vice President,Donald J. Trump,REP,Precinct 15,1011,54.35
President and Vice President,Donald J. Trump,REP,Precinct 18,425,89.10
President and Vice President,Donald J. Trump,REP,Precinct 19,2904,83.81
President and Vice President,Donald J. Trump,REP,Precinct 21,1608,65.37
President and Vice President,Donald J. Trump,REP,Precinct 22,341,41.53
President and Vice President,Donald J. Trump,REP,Precinct 23,604,90.83
President and Vice President,Donald J. Trump,REP,Precinct 24,1742,59.82
President and Vice President,Donald J. Trump,REP,Precinct 25,596,54.58
President and Vice President,Donald J. Trump,REP,Precinct 26,3042,62.88
President and Vice President,Donald J. Trump,REP,Precinct 28,266,14.13
President and Vice President,Donald J. Trump,REP,Precinct 29,541,36.55
President and Vice President,Donald J. Trump,REP,Precinct 30,1297,60.64
President and Vice President,Donald J. Trump,REP,Precinct 31,421,26.88
President and Vice President,Donald J. Trump,REP,Precinct 32,234,48.55
President and Vice President,Donald J. Trump,REP,Precinct 33,927,91.42
President and Vice President,Donald J. Trump,REP,Precinct 34,405,22.31
President and Vice President,Donald J. Trump,REP,Precinct 35,996,53.93
President and Vice President,Donald J. Trump,REP,Precinct 36,1914,72.50
President and Vice President,Donald J. Trump,REP,Precinct 38,2202,68.66
President and Vice President,Donald J. Trump,REP,Precinct 40,771,52.92
President and Vice President,Donald J. Trump,REP,Precinct 41,820,41.25
President and Vice President,Donald J. Trump,REP,Precinct 42,1479,60.64
President and Vice President,Donald J. Trump,REP,Precinct 43,3352,71.82
President and Vice President,Donald J. Trump,REP,Precinct 46,1303,59.07
President and Vice President,Donald J. Trump,REP,Precinct 47,327,31.93
President and Vice President,Donald J. Trump,REP,Precinct 48,173,15.02
President and Vice President,Donald J. Trump,REP,Precinct 49,633,47.10
President and Vice President,Donald J. Trump,REP,Precinct 50,237,46.47
President and Vice President,Donald J. Trump,REP,Precinct 51,1381,51.66
President and Vice President,Donald J. Trump,REP,Precinct 54,1047,58.39
President and Vice President,Donald J. Trump,REP,Precinct 55,1128,62.15
President and Vice President,Donald J. Trump,REP,Precinct 56,553,34.63
President and Vice President,Donald J. Trump,REP,Precinct 58,527,58.75
President and Vice President,Donald J. Trump,REP,Precinct 60,126,17.19
President and Vice President,Donald J. Trump,REP,Precinct 61,1171,53.59
President and Vice President,Donald J. Trump,REP,Precinct 62,1222,49.06
President and Vice President,Donald J. Trump,REP,Precinct 63,51,6.36
President and Vice President,Donald J. Trump,REP,Precinct 64,1150,51.43
President and Vice President,Donald J. Trump,REP,Precinct 67,3249,66.33
President and Vice President,Donald J. Trump,REP,Precinct 68,1171,62.32
President and Vice President,Donald J. Trump,REP,Precinct 69,1819,48.03
President and Vice President,Donald J. Trump,REP,Precinct 70,948,43.51
President and Vice President,Donald J. Trump,REP,Precinct 71,686,48.31
President and Vice President,Donald J. Trump,REP,Precinct 72,374,50.07
President and Vice President,Donald J. Trump,REP,Precinct 73,2006,61.88
President and Vice President,Donald J. Trump,REP,Precinct 74,3379,72.68
President and Vice President,Donald J. Trump,REP,Precinct 75,1676,55.50
President and Vice President,Donald J. Trump,REP,Precinct 77,603,39.80
President and Vice President,Donald J. Trump,REP,Precinct 80,511,58.47
President and Vice President,Donald J. Trump,REP,Precinct 82,276,40.17
President and Vice President,Donald J. Trump,REP,Precinct 83,1089,60.53
President and Vice President,Donald J. Trump,REP,Precinct 86,1290,55.94
President and Vice President,Donald J. Trump,REP,Precinct 88,730,48.44
President and Vice President,Donald J. Trump,REP,Precinct 90,242,21.49
President and Vice President,Donald J. Trump,REP,Precinct 91,2548,54.87
President and Vice President,Donald J. Trump,REP,Precinct 94,1676,68.91
President and Vice President,Donald J. Trump,REP,Precinct 95,1202,67.79
President and Vice President,Donald J. Trump,REP,Precinct 97,881,59.25
President and Vice President,Donald J. Trump,REP,Precinct 98,484,18.65
President and Vice President,Donald J. Trump,REP,Precinct 99,729,59.90
President and Vice President,Donald J. Trump,REP,Precinct 101,1089,58.86
President and Vice President,Donald J. Trump,REP,Precinct 102,1172,56.62
President and Vice President,Donald J. Trump,REP,Precinct 103,437,26.21
President and Vice President,Donald J. Trump,REP,Precinct 104,511,31.74
President and Vice President,Donald J. Trump,REP,Precinct 105,2867,71.37
President and Vice President,Donald J. Trump,REP,Precinct 106,842,51.94
President and Vice President,Donald J. Trump,REP,Precinct 107,1918,55.90
President and Vice President,Donald J. Trump,REP,Precinct 108,1504,50.71
President and Vice President,Donald J. Trump,REP,Precinct 110,1234,86.54
President and Vice President,Donald J. Trump,REP,Precinct 111,1510,58.26
President and Vice President,Donald J. Trump,REP,Precinct 112,3508,65.61
President and Vice President,Donald J. Trump,REP,Precinct 113,581,52.11
President and Vice President,Donald J. Trump,REP,Precinct 114,1726,71.80
President and Vice President,Joseph R. Biden,DEM,Precinct 1,1641,41.99
President and Vice President,Joseph R. Biden,DEM,Precinct 3,1189,42.62
President and Vice President,Joseph R. Biden,DEM,Precinct 5,675,26.66
President and Vice President,Joseph R. Biden,DEM,Precinct 6,376,26.86
President and Vice President,Joseph R. Biden,DEM,Precinct 7,1315,25.56
President and Vice President,Joseph R. Biden,DEM,Precinct 11,162,17.34
President and Vice President,Joseph R. Biden,DEM,Precinct 14,1287,81.61
President and Vice President,Joseph R. Biden,DEM,Precinct 15,799,42.96
President and Vice President,Joseph R. Biden,DEM,Precinct 18,46,9.64
President and Vice President,Joseph R. Biden,DEM,Precinct 19,509,14.69
President and Vice President,Joseph R. Biden,DEM,Precinct 21,822,33.41
President and Vice President,Joseph R. Biden,DEM,Precinct 22,472,57.49
President and Vice President,Joseph R. Biden,DEM,Precinct 23,58,8.72
President and Vice President,Joseph R. Biden,DEM,Precinct 24,1111,38.15
President and Vice President,Joseph R. Biden,DEM,Precinct 25,470,43.04
President and Vice President,Joseph R. Biden,DEM,Precinct 26,1705,35.24
President and Vice President,Joseph R. Biden,DEM,Precinct 28,1593,84.60
President and Vice President,Joseph R. Biden,DEM,Precinct 29,915,61.82
President and Vice President,Joseph R. Biden,DEM,Precinct 30,793,37.07
President and Vice President,Joseph R. Biden,DEM,Precinct 31,1102,70.37
President and Vice President,Joseph R. Biden,DEM,Precinct 32,236,48.96
President and Vice President,Joseph R. Biden,DEM,Precinct 33,74,7.30
President and Vice President,Joseph R. Biden,DEM,Precinct 34,1387,76.42
President and Vice President,Joseph R. Biden,DEM,Precinct 35,807,43.69
President and Vice President,Joseph R. Biden,DEM,Precinct 36,694,26.29
President and Vice President,Joseph R. Biden,DEM,Precinct 38,952,29.69
President and Vice President,Joseph R. Biden,DEM,Precinct 40,659,45.23
President and Vice President,Joseph R. Biden,DEM,Precinct 41,1121,56.39
President and Vice President,Joseph R. Biden,DEM,Precinct 42,908,37.23
President and Vice President,Joseph R. Biden,DEM,Precinct 43,1249,26.76
President and Vice President,Joseph R. Biden,DEM,Precinct 46,862,39.08
President and Vice President,Joseph R. Biden,DEM,Precinct 47,678,66.21
President and Vice President,Joseph R. Biden,DEM,Precinct 48,965,83.77
President and Vice President,Joseph R. Biden,DEM,Precinct 49,684,50.89
President and Vice President,Joseph R. Biden,DEM,Precinct 50,261,51.18
President and Vice President,Joseph R. Biden,DEM,Precinct 51,1243,46.50
President and Vice President,Joseph R. Biden,DEM,Precinct 54,708,39.49
President and Vice President,Joseph R. Biden,DEM,Precinct 55,641,35.32
President and Vice President,Joseph R. Biden,DEM,Precinct 56,995,62.30
President and Vice President,Joseph R. Biden,DEM,Precinct 58,355,39.58
President and Vice President,Joseph R. Biden,DEM,Precinct 60,594,81.04
President and Vice President,Joseph R. Biden,DEM,Precinct 61,945,43.25
President and Vice President,Joseph R. Biden,DEM,Precinct 62,1225,49.18
President and Vice President,Joseph R. Biden,DEM,Precinct 63,746,93.02
President and Vice President,Joseph R. Biden,DEM,Precinct 64,1039,46.47
President and Vice President,Joseph R. Biden,DEM,Precinct 67,1545,31.54
President and Vice President,Joseph R. Biden,DEM,Precinct 68,681,36.24
President and Vice President,Joseph R. Biden,DEM,Precinct 69,1893,49.99
President and Vice President,Joseph R. Biden,DEM,Precinct 70,1187,54.47
President and Vice President,Joseph R. Biden,DEM,Precinct 71,711,50.07
President and Vice President,Joseph R. Biden,DEM,Precinct 72,356,47.66
President and Vice President,Joseph R. Biden,DEM,Precinct 73,1145,35.32
President and Vice President,Joseph R. Biden,DEM,Precinct 74,1197,25.75
President and Vice President,Joseph R. Biden,DEM,Precinct 75,1288,42.65
President and Vice President,Joseph R. Biden,DEM,Precinct 77,878,57.95
President and Vice President,Joseph R. Biden,DEM,Precinct 80,345,39.47
President and Vice President,Joseph R. Biden,DEM,Precinct 82,393,57.21
President and Vice President,Joseph R. Biden,DEM,Precinct 83,672,37.35
President and Vice President,Joseph R. Biden,DEM,Precinct 86,972,42.15
President and Vice President,Joseph R. Biden,DEM,Precinct 88,736,48.84
President and Vice President,Joseph R. Biden,DEM,Precinct 90,864,76.73
President and Vice President,Joseph R. Biden,DEM,Precinct 91,2003,43.13
President and Vice President,Joseph R. Biden,DEM,Precinct 94,726,29.85
President and Vice President,Joseph R. Biden,DEM,Precinct 95,537,30.29
President and Vice President,Joseph R. Biden,DEM,Precinct 97,578,38.87
President and Vice President,Joseph R. Biden,DEM,Precinct 98,2068,79.69
President and Vice President,Joseph R. Biden,DEM,Precinct 99,469,38.54
President and Vice President,Joseph R. Biden,DEM,Precinct 101,737,39.84
President and Vice President,Joseph R. Biden,DEM,Precinct 102,872,42.13
President and Vice President,Joseph R. Biden,DEM,Precinct 103,1208,72.47
President and Vice President,Joseph R. Biden,DEM,Precinct 104,1069,66.40
President and Vice President,Joseph R. Biden,DEM,Precinct 105,1095,27.26
President and Vice President,Joseph R. Biden,DEM,Precinct 106,748,46.14
President and Vice President,Joseph R. Biden,DEM,Precinct 107,1428,41.62
President and Vice President,Joseph R. Biden,DEM,Precinct 108,1385,46.70
President and Vice President,Joseph R. Biden,DEM,Precinct 110,174,12.20
President and Vice President,Joseph R. Biden,DEM,Precinct 111,1024,39.51
President and Vice President,Joseph R. Biden,DEM,Precinct 112,1727,32.30
President and Vice President,Joseph R. Biden,DEM,Precinct 113,518,46.46
President and Vice President,Joseph R. Biden,DEM,Precinct 114,632,26.29
President and Vice President,Jo Jorgensen,LPF,Precinct 1,103,2.64
President and Vice President,Jo Jorgensen,LPF,Precinct 3,32,1.15
President and Vice President,Jo Jorgensen,LPF,Precinct 5,21,0.83
President and Vice President,Jo Jorgensen,LPF,Precinct 6,23,1.64
President and Vice President,Jo Jorgensen,LPF,Precinct 7,52,1.01
President and Vice President,Jo Jorgensen,LPF,Precinct 11,4,0.43
President and Vice President,Jo Jorgensen,LPF,Precinct 14,6,0.38
President and Vice President,Jo Jorgensen,LPF,Precinct 15,36,1.94
President and Vice President,Jo Jorgensen,LPF,Precinct 18,5,1.05
President and Vice President,Jo Jorgensen,LPF,Precinct 19,32,0.92
President and Vice President,Jo Jorgensen,LPF,Precinct 21,17,0.69
President and Vice President,Jo Jorgensen,LPF,Precinct 22,7,0.85
President and Vice President,Jo Jorgensen,LPF,Precinct 23,3,0.45
President and Vice President,Jo Jorgensen,LPF,Precinct 24,38,1.30
President and Vice President,Jo Jorgensen,LPF,Precinct 25,18,1.65
President and Vice President,Jo Jorgensen,LPF,Precinct 26,58,1.20
President and Vice President,Jo Jorgensen,LPF,Precinct 28,13,0.69
President and Vice President,Jo Jorgensen,LPF,Precinct 29,16,1.08
President and Vice President,Jo Jorgensen,LPF,Precinct 30,36,1.68
President and Vice President,Jo Jorgensen,LPF,Precinct 31,25,1.60
President and Vice President,Jo Jorgensen,LPF,Precinct 32,5,1.04
President and Vice President,Jo Jorgensen,LPF,Precinct 33,10,0.99
President and Vice President,Jo Jorgensen,LPF,Precinct 34,10,0.55
President and Vice President,Jo Jorgensen,LPF,Precinct 35,35,1.89
President and Vice President,Jo Jorgensen,LPF,Precinct 36,22,0.83
President and Vice President,Jo Jorgensen,LPF,Precinct 38,27,0.84
President and Vice President,Jo Jorgensen,LPF,Precinct 40,17,1.17
President and Vice President,Jo Jorgensen,LPF,Precinct 41,32,1.61
President and Vice President,Jo Jorgensen,LPF,Precinct 42,26,1.07
President and Vice President,Jo Jorgensen,LPF,Precinct 43,40,0.86
President and Vice President,Jo Jorgensen,LPF,Precinct 46,27,1.22
President and Vice President,Jo Jorgensen,LPF,Precinct 47,12,1.17
President and Vice President,Jo Jorgensen,LPF,Precinct 48,7,0.61
President and Vice President,Jo Jorgensen,LPF,Precinct 49,20,1.49
President and Vice President,Jo Jorgensen,LPF,Precinct 50,8,1.57
President and Vice President,Jo Jorgensen,LPF,Precinct 51,34,1.27
President and Vice President,Jo Jorgensen,LPF,Precinct 54,26,1.45
President and Vice President,Jo Jorgensen,LPF,Precinct 55,37,2.04
President and Vice President,Jo Jorgensen,LPF,Precinct 56,32,2.00
President and Vice President,Jo Jorgensen,LPF,Precinct 58,13,1.45
President and Vice President,Jo Jorgensen,LPF,Precinct 60,6,0.82
President and Vice President,Jo Jorgensen,LPF,Precinct 61,54,2.47
President and Vice President,Jo Jorgensen,LPF,Precinct 62,30,1.20
President and Vice President,Jo Jorgensen,LPF,Precinct 63,3,0.37
President and Vice President,Jo Jorgensen,LPF,Precinct 64,34,1.52
President and Vice President,Jo Jorgensen,LPF,Precinct 67,79,1.61
President and Vice President,Jo Jorgensen,LPF,Precinct 68,20,1.06
President and Vice President,Jo Jorgensen,LPF,Precinct 69,57,1.51
President and Vice President,Jo Jorgensen,LPF,Precinct 70,29,1.33
President and Vice President,Jo Jorgensen,LPF,Precinct 71,17,1.20
