Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,Precinct 1,-,-,-,-,804,78.21
President and Vice President,Donald J. Trump,REP,Precinct 2,0,123,381,340,844,79.10
President and Vice President,Donald J. Trump,REP,Precinct 3,0,141,311,545,997,78.63
President and Vice President,Donald J. Trump,REP,Precinct 4,0,242,587,649,1478,76.22
President and Vice President,Donald J. Trump,REP,Precinct 5,-,-,-,-,1292,70.29
President and Vice President,Donald J. Trump,REP,Precinct 6,-,-,-,-,1946,54.33
President and Vice President,Donald J. Trump,REP,Precinct 7,0,114,297,264,675,58.54
President and Vice President,Donald J. Trump,REP,Precinct 8,0,500,1095,642,2237,67.56
President and Vice President,Donald J. Trump,REP,Precinct 9,0,124,266,323,713,78.87
President and Vice President,Donald J. Trump,REP,Precinct 10,0,188,380,204,772,67.96
President and Vice President,Donald J. Trump,REP,Precinct 11,-,-,-,-,1142,57.27
President and Vice President,Donald J. Trump,REP,Precinct 12,0,379,685,389,1453,65.36
President and Vice President,Donald J. Trump,REP,Precinct 13,-,-,-,-,867,70.09
President and Vice President,Donald J. Trump,REP,Precinct 14,-,-,-,-,1559,53.30
President and Vice President,Donald J. Trump,REP,Precinct 15.CLE,-,-,-,-,1023,43.22
President and Vice President,Donald J. Trump,REP,Precinct 16,-,-,-,-,1613,67.72
President and Vice President,Donald J. Trump,REP,Precinct 17,0,195,397,573,1165,74.39
President and Vice President,Donald J. Trump,REP,Precinct 18,0,242,473,495,1210,73.74
President and Vice President,Donald J. Trump,REP,Precinct 19,0,295,517,251,1063,60.85
President and Vice President,Donald J. Trump,REP,Precinct 20,-,-,-,-,1931,64.84
President and Vice President,Donald J. Trump,REP,Precinct 21,0,359,676,468,1503,71.54
President and Vice President,Donald J. Trump,REP,Precinct 22,-,-,-,-,4235,53.60
President and Vice President,Donald J. Trump,REP,Precinct 23,-,-,-,-,2965,53.07
President and Vice President,Donald J. Trump,REP,Precinct 24,-,-,-,-,920,74.74
President and Vice President,Donald J. Trump,REP,Precinct 25,0,435,1062,749,2246,69.90
President and Vice President,Donald J. Trump,REP,Precinct 26,0,256,508,246,1010,48.49
President and Vice President,Donald J. Trump,REP,Precinct 27,0,49,77,33,159,23.56
President and Vice President,Donald J. Trump,REP,Precinct 28,0,44,113,150,307,46.59
President and Vice President,Donald J. Trump,REP,Precinct 29,-,-,-,-,621,59.65
President and Vice President,Donald J. Trump,REP,Precinct 30,0,323,643,556,1522,67.95
President and Vice President,Donald J. Trump,REP,Precinct 31,0,245,455,164,864,54.14
President and Vice President,Donald J. Trump,REP,Precinct 32,-,-,-,-,2324,64.16
President and Vice President,Donald J. Trump,REP,Precinct 33,-,-,-,-,873,72.39
President and Vice President,Donald J. Trump,REP,Precinct 34,-,-,-,-,423,70.62
President and Vice President,Donald J. Trump,REP,Precinct 35,-,-,-,-,1305,57.44
President and Vice President,Donald J. Trump,REP,Precinct 36.LEE3,0,197,267,450,914,64.59
President and Vice President,Donald J. Trump,REP,Precinct 37,-,-,-,-,822,63.43
President and Vice President,Donald J. Trump,REP,Precinct 38,0,393,1002,363,1758,64.09
President and Vice President,Donald J. Trump,REP,Precinct 39,0,347,682,274,1303,64.28
President and Vice President,Donald J. Trump,REP,Precinct 40,0,107,253,179,539,57.77
President and Vice President,Donald J. Trump,REP,Precinct 41,0,131,281,165,577,71.86
President and Vice President,Donald J. Trump,REP,Precinct 42,-,-,-,-,1788,58.37
President and Vice President,Donald J. Trump,REP,Precinct 43,-,-,-,-,1610,52.09
President and Vice President,Donald J. Trump,REP,Precinct 44,0,210,356,168,734,50.34
President and Vice President,Donald J. Trump,REP,Precinct 45,0,174,535,393,1102,55.52
President and Vice President,Donald J. Trump,REP,Precinct 46,0,149,222,262,633,60.46
President and Vice President,Donald J. Trump,REP,Precinct 47,0,393,1072,488,1953,61.75
President and Vice President,Donald J. Trump,REP,Precinct 48,-,-,-,-,1484,54.62
President and Vice President,Donald J. Trump,REP,Precinct 49,0,336,819,380,1535,67.83
President and Vice President,Donald J. Trump,REP,Precinct 50,-,-,-,-,435,46.62
President and Vice President,Donald J. Trump,REP,Precinct 51,0,54,36,186,276,61.06
President and Vice President,Donald J. Trump,REP,Precinct 52,0,574,1508,350,2432,51.02
President and Vice President,Donald J. Trump,REP,Precinct 54,-,-,-,-,769,75.91
President and Vice President,Donald J. Trump,REP,Precinct 56,0,102,133,89,324,58.17
President and Vice President,Donald J. Trump,REP,Precinct 57.MD,-,-,-,-,86,15.06
President and Vice President,Donald J. Trump,REP,Precinct 58,0,414,798,381,1593,51.14
President and Vice President,Donald J. Trump,REP,Precinct 59,0,450,671,587,1708,67.59
President and Vice President,Donald J. Trump,REP,Precinct 60,-,-,-,-,414,62.63
President and Vice President,Donald J. Trump,REP,Precinct 61,0,479,436,741,1656,62.89
President and Vice President,Donald J. Trump,REP,Precinct 62,-,-,-,-,3322,75.38
President and Vice President,Donald J. Trump,REP,Precinct 63,0,135,114,354,603,63.27
President and Vice President,Donald J. Trump,REP,Precinct 65,-,-,-,-,1498,63.45
President and Vice President,Donald J. Trump,REP,Precinct 67,-,-,-,-,2129,69.46
President and Vice President,Donald J. Trump,REP,Precinct 68,0,182,350,279,811,52.05
President and Vice President,Donald J. Trump,REP,Precinct 69,0,134,113,171,418,66.88
President and Vice President,Donald J. Trump,REP,Precinct 70,0,139,102,278,519,65.12
President and Vice President,Donald J. Trump,REP,Precinct 71,-,-,-,-,865,83.25
President and Vice President,Donald J. Trump,REP,Precinct 72,-,-,-,-,764,62.37
President and Vice President,Donald J. Trump,REP,Precinct 73,0,328,411,115,854,64.07
President and Vice President,Donald J. Trump,REP,Precinct 74,-,-,-,-,805,64.19
President and Vice President,Donald J. Trump,REP,Precinct 75,0,263,196,533,992,65.44
President and Vice President,Donald J. Trump,REP,Precinct 76,-,-,-,-,225,61.98
President and Vice President,Donald J. Trump,REP,Precinct 77.LEE3,-,-,-,-,178,59.53
President and Vice President,Donald J. Trump,REP,Precinct 78.CLE,0,614,641,524,1779,62.40
President and Vice President,Donald J. Trump,REP,Precinct 79,-,-,-,-,3047,50.25
President and Vice President,Donald J. Trump,REP,Precinct 80,-,-,-,-,1582,61.51
President and Vice President,Donald J. Trump,REP,Precinct 81,0,326,972,355,1653,54.11
President and Vice President,Donald J. Trump,REP,Precinct 82,0,279,946,332,1557,38.03
President and Vice President,Donald J. Trump,REP,Precinct 83,0,367,382,629,1378,62.30
President and Vice President,Donald J. Trump,REP,Precinct 84,-,-,-,-,2660,39.73
President and Vice President,Donald J. Trump,REP,Precinct 85,0,159,249,386,794,65.14
President and Vice President,Donald J. Trump,REP,Precinct 86.MD,-,-,-,-,681,58.66
President and Vice President,Donald J. Trump,REP,Precinct 87.CLE,-,-,-,-,825,52.38
President and Vice President,Donald J. Trump,REP,Precinct 88,0,505,1170,355,2030,61.33
President and Vice President,Donald J. Trump,REP,Precinct 89,0,677,1496,597,2770,49.38
President and Vice President,Donald J. Trump,REP,Precinct 90,0,94,360,133,587,53.12
President and Vice President,Donald J. Trump,REP,Precinct 91,-,-,-,-,1053,77.14
President and Vice President,Donald J. Trump,REP,Precinct 92,0,260,800,285,1345,70.60
President and Vice President,Donald J. Trump,REP,Precinct 93,-,-,-,-,1470,63.12
President and Vice President,Donald J. Trump,REP,Precinct 94,-,-,-,-,1711,72.47
President and Vice President,Donald J. Trump,REP,Precinct 95,-,-,-,-,1435,54.07
President and Vice President,Donald J. Trump,REP,Precinct 96,0,239,336,115,690,62.96
President and Vice President,Donald J. Trump,REP,Precinct 97,-,-,-,-,1461,42.45
President and Vice President,Donald J. Trump,REP,Precinct 98.MD,-,-,-,-,202,53.16
President and Vice President,Donald J. Trump,REP,Precinct 99.TAV,0,159,154,405,718,62.98
President and Vice President,Donald J. Trump,REP,Precinct 100,0,495,1586,534,2615,67.89
President and Vice President,Donald J. Trump,REP,Precinct 101,-,-,-,-,727,60.33
President and Vice President,Donald J. Trump,REP,Precinct 102.CLE,0,188,163,294,645,56.09
President and Vice President,Donald J. Trump,REP,Precinct 103.LEE3,-,-,-,-,888,60.16
President and Vice President,Donald J. Trump,REP,Precinct 104.MD,-,-,-,-,668,56.32
President and Vice President,Donald J. Trump,REP,Precinct 105,0,240,433,361,1034,67.32
President and Vice President,Donald J. Trump,REP,Precinct 106.GRV,-,-,-,-,902,52.56
President and Vice President,Donald J. Trump,REP,Precinct 107,0,123,213,126,462,70.53
President and Vice President,Donald J. Trump,REP,Federal,-,-,-,-,1,33.33
President and Vice President,Joseph R. Biden,DEM,Precinct 1,-,-,-,-,219,21.30
President and Vice President,Joseph R. Biden,DEM,Precinct 2,0,95,74,49,218,20.43
President and Vice President,Joseph R. Biden,DEM,Precinct 3,0,119,60,86,265,20.90
President and Vice President,Joseph R. Biden,DEM,Precinct 4,0,237,113,85,435,22.43
President and Vice President,Joseph R. Biden,DEM,Precinct 5,0,237,215,73,525,28.56
President and Vice President,Joseph R. Biden,DEM,Precinct 6,-,-,-,-,1593,44.47
President and Vice President,Joseph R. Biden,DEM,Precinct 7,0,170,178,119,467,40.50
President and Vice President,Joseph R. Biden,DEM,Precinct 8,-,-,-,-,1042,31.47
