Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,Precinct 100,389,481,395,1265,70.51
President and Vice President,Donald J. Trump,REP,Precinct 102,125,223,114,462,60.55
President and Vice President,Donald J. Trump,REP,Precinct 103,681,821,575,2077,69.60
President and Vice President,Donald J. Trump,REP,Precinct 104,789,994,1003,2786,73.65
President and Vice President,Donald J. Trump,REP,Precinct 105,812,1042,977,2831,61.65
President and Vice President,Donald J. Trump,REP,Precinct 106,396,549,741,1686,80.67
President and Vice President,Donald J. Trump,REP,Precinct 107,353,427,260,1040,59.60
President and Vice President,Donald J. Trump,REP,Precinct 108,562,664,385,1611,43.33
President and Vice President,Donald J. Trump,REP,Precinct 109,842,1053,766,2661,61.16
President and Vice President,Donald J. Trump,REP,Precinct 111,362,532,382,1276,59.93
President and Vice President,Donald J. Trump,REP,Precinct 112,544,645,406,1595,63.65
President and Vice President,Donald J. Trump,REP,Precinct 113,366,688,560,1614,64.00
President and Vice President,Donald J. Trump,REP,Precinct 114,801,1071,845,2717,59.17
President and Vice President,Donald J. Trump,REP,Precinct 115,620,758,429,1807,60.78
President and Vice President,Donald J. Trump,REP,Precinct 116,1172,933,408,2513,69.57
President and Vice President,Donald J. Trump,REP,Precinct 118,949,1360,988,3297,70.60
President and Vice President,Donald J. Trump,REP,Precinct 120,-,-,-,111,13.31
President and Vice President,Donald J. Trump,REP,Precinct 121,436,590,290,1316,69.89
President and Vice President,Donald J. Trump,REP,Precinct 122,296,491,504,1291,66.44
President and Vice President,Donald J. Trump,REP,Precinct 123,426,655,507,1588,61.98
President and Vice President,Donald J. Trump,REP,Precinct 124,471,638,726,1835,60.34
President and Vice President,Donald J. Trump,REP,Precinct 125,534,786,736,2056,65.92
President and Vice President,Donald J. Trump,REP,Precinct 126,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,Precinct 127,184,176,152,512,61.61
President and Vice President,Donald J. Trump,REP,Precinct 128,-,-,-,4,100.00
President and Vice President,Donald J. Trump,REP,Precinct 129,-,-,-,23,69.70
President and Vice President,Donald J. Trump,REP,Precinct 130,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,Precinct 131,297,382,118,797,61.69
President and Vice President,Donald J. Trump,REP,Precinct 132,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,Precinct 133,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,Precinct 135,302,505,333,1140,69.05
President and Vice President,Donald J. Trump,REP,Precinct 136,0,0,0,0,0.00
President and Vice President,Donald J. Trump,REP,Precinct 200,271,307,289,867,53.45
President and Vice President,Donald J. Trump,REP,Precinct 201,533,946,250,1729,63.64
President and Vice President,Donald J. Trump,REP,Precinct 202,397,745,358,1500,62.87
President and Vice President,Donald J. Trump,REP,Precinct 203,498,1094,397,1989,61.46
President and Vice President,Donald J. Trump,REP,Precinct 204,674,946,488,2108,56.30
President and Vice President,Donald J. Trump,REP,Precinct 205,1127,1760,1142,4029,66.52
President and Vice President,Donald J. Trump,REP,Precinct 206,396,800,237,1433,64.29
President and Vice President,Donald J. Trump,REP,Precinct 207,350,524,354,1228,61.49
President and Vice President,Donald J. Trump,REP,Precinct 208,283,396,342,1021,56.91
