Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,Malone City Hall,-,-,-,-,859,64.73
President and Vice President,Donald J. Trump,REP,Campbellton Comm Center,0,73,137,81,291,30.60
President and Vice President,Donald J. Trump,REP,Citizens Lodge,0,492,1103,290,1885,69.40
President and Vice President,Donald J. Trump,REP,Alford Comm Center,-,-,-,-,2258,81.16
President and Vice President,Donald J. Trump,REP,Cypress Park,-,-,-,-,422,77.15
President and Vice President,Donald J. Trump,REP,Co Comm Admin Bldg,-,-,-,-,940,47.43
President and Vice President,Donald J. Trump,REP,Eastside Baptist Church,-,-,-,-,1854,79.06
President and Vice President,Donald J. Trump,REP,Shady Grove Methodist Ch,0,137,344,221,702,87.75
President and Vice President,Donald J. Trump,REP,Grand Ridge Comm Ctr,0,194,460,320,974,79.06
President and Vice President,Donald J. Trump,REP,Welcome Assembly of God CH,0,221,379,255,855,55.48
President and Vice President,Donald J. Trump,REP,Sneads City Hall,0,203,935,309,1447,78.13
President and Vice President,Donald J. Trump,REP,Cottondale Comm Center,-,-,-,-,1080,67.42
President and Vice President,Donald J. Trump,REP,Greenwood Town Hall,-,-,-,-,335,45.45
President and Vice President,Donald J. Trump,REP,Graceville Civic Ctr,-,-,-,-,1586,77.67
President and Vice President,Joseph R. Biden,DEM,Malone City Hall,0,201,136,114,451,33.99
President and Vice President,Joseph R. Biden,DEM,Campbellton Comm Center,-,-,-,-,654,68.77
President and Vice President,Joseph R. Biden,DEM,Citizens Lodge,0,365,338,102,805,29.64
President and Vice President,Joseph R. Biden,DEM,Alford Comm Center,0,252,165,85,502,18.04
President and Vice President,Joseph R. Biden,DEM,Cypress Park,-,-,-,-,124,22.67
President and Vice President,Joseph R. Biden,DEM,Co Comm Admin Bldg,-,-,-,-,1026,51.77
President and Vice President,Joseph R. Biden,DEM,Eastside Baptist Church,0,199,216,51,466,19.87
President and Vice President,Joseph R. Biden,DEM,Shady Grove Methodist Ch,-,-,-,-,93,11.63
President and Vice President,Joseph R. Biden,DEM,Grand Ridge Comm Ctr,0,91,90,62,243,19.72
President and Vice President,Joseph R. Biden,DEM,Welcome Assembly of God CH,-,-,-,-,675,43.80
President and Vice President,Joseph R. Biden,DEM,Sneads City Hall,-,-,-,-,393,21.22
President and Vice President,Joseph R. Biden,DEM,Cottondale Comm Center,0,184,223,99,506,31.59
President and Vice President,Joseph R. Biden,DEM,Greenwood Town Hall,0,157,150,92,399,54.14
President and Vice President,Joseph R. Biden,DEM,Graceville Civic Ctr,-,-,-,-,429,21.01
President and Vice President,Jo Jorgensen,LPF,Malone City Hall,-,-,-,-,9,0.68
President and Vice President,Jo Jorgensen,LPF,Campbellton Comm Center,-,-,-,-,5,0.53
President and Vice President,Jo Jorgensen,LPF,Citizens Lodge,-,-,-,-,19,0.70
President and Vice President,Jo Jorgensen,LPF,Alford Comm Center,-,-,-,-,11,0.40
President and Vice President,Jo Jorgensen,LPF,Cypress Park,0,0,0,0,0,0.00
President and Vice President,Jo Jorgensen,LPF,Co Comm Admin Bldg,-,-,-,-,11,0.55
President and Vice President,Jo Jorgensen,LPF,Eastside Baptist Church,-,-,-,-,11,0.47
President and Vice President,Jo Jorgensen,LPF,Shady Grove Methodist Ch,-,-,-,-,3,0.38
President and Vice President,Jo Jorgensen,LPF,Grand Ridge Comm Ctr,-,-,-,-,8,0.65
President and Vice President,Jo Jorgensen,LPF,Welcome Assembly of God CH,-,-,-,-,8,0.52
President and Vice President,Jo Jorgensen,LPF,Sneads City Hall,-,-,-,-,3,0.16
President and Vice President,Jo Jorgensen,LPF,Cottondale Comm Center,-,-,-,-,8,0.50
President and Vice President,Jo Jorgensen,LPF,Greenwood Town Hall,-,-,-,-,2,0.27
President and Vice President,Jo Jorgensen,LPF,Graceville Civic Ctr,-,-,-,-,18,0.88
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Malone City Hall,0,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Campbellton Comm Center,0,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Citizens Lodge,0,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Alford Comm Center,0,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Cypress Park,0,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Co Comm Admin Bldg,-,-,-,-,1,0.05
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Eastside Baptist Church,-,-,-,-,1,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Shady Grove Methodist Ch,-,-,-,-,1,0.13
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Grand Ridge Comm Ctr,-,-,-,-,1,0.08
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Welcome Assembly of God CH,-,-,-,-,1,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Sneads City Hall,-,-,-,-,2,0.11
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Cottondale Comm Center,-,-,-,-,4,0.25
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Greenwood Town Hall,0,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,Graceville Civic Ctr,-,-,-,-,2,0.10
President and Vice President,Gloria La Riva,PSL,Malone City Hall,0,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,Campbellton Comm Center,0,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,Citizens Lodge,-,-,-,-,1,0.04
President and Vice President,Gloria La Riva,PSL,Alford Comm Center,-,-,-,-,1,0.04
President and Vice President,Gloria La Riva,PSL,Cypress Park,0,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,Co Comm Admin Bldg,-,-,-,-,1,0.05
President and Vice President,Gloria La Riva,PSL,Eastside Baptist Church,-,-,-,-,3,0.13
President and Vice President,Gloria La Riva,PSL,Shady Grove Methodist Ch,0,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,Grand Ridge Comm Ctr,-,-,-,-,1,0.08
President and Vice President,Gloria La Riva,PSL,Welcome Assembly of God CH,-,-,-,-,1,0.06
President and Vice President,Gloria La Riva,PSL,Sneads City Hall,-,-,-,-,3,0.16
President and Vice President,Gloria La Riva,PSL,Cottondale Comm Center,-,-,-,-,1,0.06
President and Vice President,Gloria La Riva,PSL,Greenwood Town Hall,0,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,Graceville Civic Ctr,-,-,-,-,1,0.05
President and Vice President,Howie Hawkins,GRE,Malone City Hall,-,-,-,-,1,0.08
President and Vice President,Howie Hawkins,GRE,Campbellton Comm Center,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Citizens Lodge,-,-,-,-,1,0.04
President and Vice President,Howie Hawkins,GRE,Alford Comm Center,-,-,-,-,1,0.04
President and Vice President,Howie Hawkins,GRE,Cypress Park,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Co Comm Admin Bldg,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Eastside Baptist Church,-,-,-,-,1,0.04
President and Vice President,Howie Hawkins,GRE,Shady Grove Methodist Ch,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Grand Ridge Comm Ctr,-,-,-,-,2,0.16
President and Vice President,Howie Hawkins,GRE,Welcome Assembly of God CH,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Sneads City Hall,-,-,-,-,2,0.11
President and Vice President,Howie Hawkins,GRE,Cottondale Comm Center,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Greenwood Town Hall,0,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,Graceville Civic Ctr,-,-,-,-,5,0.24
President and Vice President,Don Blankenship,CPF,Malone City Hall,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Campbellton Comm Center,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Citizens Lodge,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Alford Comm Center,-,-,-,-,1,0.04
President and Vice President,Don Blankenship,CPF,Cypress Park,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Co Comm Admin Bldg,-,-,-,-,1,0.05
President and Vice President,Don Blankenship,CPF,Eastside Baptist Church,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Shady Grove Methodist Ch,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Grand Ridge Comm Ctr,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Welcome Assembly of God CH,-,-,-,-,1,0.06
President and Vice President,Don Blankenship,CPF,Sneads City Hall,-,-,-,-,1,0.05
President and Vice President,Don Blankenship,CPF,Cottondale Comm Center,0,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,Greenwood Town Hall,-,-,-,-,1,0.14
President and Vice President,Don Blankenship,CPF,Graceville Civic Ctr,0,0,0,0,0,0.00
President and Vice President,WRITE-IN,NON,Malone City Hall,-,-,-,-,7,0.53
President and Vice President,WRITE-IN,NON,Campbellton Comm Center,-,-,-,-,1,0.11
President and Vice President,WRITE-IN,NON,Citizens Lodge,-,-,-,-,5,0.18
President and Vice President,WRITE-IN,NON,Alford Comm Center,-,-,-,-,8,0.29
President and Vice President,WRITE-IN,NON,Cypress Park,-,-,-,-,1,0.18
President and Vice President,WRITE-IN,NON,Co Comm Admin Bldg,-,-,-,-,2,0.10
President and Vice President,WRITE-IN,NON,Eastside Baptist Church,-,-,-,-,9,0.38
President and Vice President,WRITE-IN,NON,Shady Grove Methodist Ch,-,-,-,-,1,0.13
President and Vice President,WRITE-IN,NON,Grand Ridge Comm Ctr,-,-,-,-,3,0.24
President and Vice President,WRITE-IN,NON,Welcome Assembly of God CH,0,0,0,0,0,0.00
President and Vice President,WRITE-IN,NON,Sneads City Hall,-,-,-,-,1,0.05
President and Vice President,WRITE-IN,NON,Cottondale Comm Center,-,-,-,-,3,0.19
President and Vice President,WRITE-IN,NON,Greenwood Town Hall,0,0,0,0,0,0.00
President and Vice President,WRITE-IN,NON,Graceville Civic Ctr,-,-,-,-,1,0.05
Representative in Congress District 2,Neal Dunn,REP,Malone City Hall,-,-,-,-,1068,95.96
Representative in Congress District 2,Neal Dunn,REP,Campbellton Comm Center,0,208,256,153,617,88.90
Representative in Congress District 2,Neal Dunn,REP,Citizens Lodge,0,637,1234,347,2218,94.79
Representative in Congress District 2,Neal Dunn,REP,Alford Comm Center,-,-,-,-,2416,96.68
Representative in Congress District 2,Neal Dunn,REP,Cypress Park,-,-,-,-,449,97.19
Representative in Congress District 2,Neal Dunn,REP,Co Comm Admin Bldg,-,-,-,-,1406,91.12
Representative in Congress District 2,Neal Dunn,REP,Eastside Baptist Church,-,-,-,-,2035,96.81
Representative in Congress District 2,Neal Dunn,REP,Shady Grove Methodist Ch,0,150,342,225,717,98.22
Representative in Congress District 2,Neal Dunn,REP,Grand Ridge Comm Ctr,0,221,483,353,1057,96.35
Representative in Congress District 2,Neal Dunn,REP,Welcome Assembly of God CH,-,-,-,-,1080,90.91
Representative in Congress District 2,Neal Dunn,REP,Sneads City Hall,-,-,-,-,1586,96.24
Representative in Congress District 2,Neal Dunn,REP,Cottondale Comm Center,-,-,-,-,1331,95.28
Representative in Congress District 2,Neal Dunn,REP,Greenwood Town Hall,-,-,-,-,476,91.54
Representative in Congress District 2,Neal Dunn,REP,Graceville Civic Ctr,-,-,-,-,1806,97.57
Representative in Congress District 2,WRITE-IN,NON,Malone City Hall,-,-,-,-,45,4.04
Representative in Congress District 2,WRITE-IN,NON,Campbellton Comm Center,-,-,-,-,77,11.10
Representative in Congress District 2,WRITE-IN,NON,Citizens Lodge,-,-,-,-,122,5.21
Representative in Congress District 2,WRITE-IN,NON,Alford Comm Center,-,-,-,-,83,3.32
Representative in Congress District 2,WRITE-IN,NON,Cypress Park,-,-,-,-,13,2.81
Representative in Congress District 2,WRITE-IN,NON,Co Comm Admin Bldg,-,-,-,-,137,8.88
Representative in Congress District 2,WRITE-IN,NON,Eastside Baptist Church,-,-,-,-,67,3.19
Representative in Congress District 2,WRITE-IN,NON,Shady Grove Methodist Ch,-,-,-,-,13,1.78
Representative in Congress District 2,WRITE-IN,NON,Grand Ridge Comm Ctr,-,-,-,-,40,3.65
Representative in Congress District 2,WRITE-IN,NON,Welcome Assembly of God CH,-,-,-,-,108,9.09
Representative in Congress District 2,WRITE-IN,NON,Sneads City Hall,-,-,-,-,62,3.76
Representative in Congress District 2,WRITE-IN,NON,Cottondale Comm Center,-,-,-,-,66,4.72
Representative in Congress District 2,WRITE-IN,NON,Greenwood Town Hall,-,-,-,-,44,8.46
Representative in Congress District 2,WRITE-IN,NON,Graceville Civic Ctr,-,-,-,-,45,2.43
Clerk of the Circuit Court and Comptroller,Justin Branch,REP,Malone City Hall,-,-,-,-,579,44.71
Clerk of the Circuit Court and Comptroller,Justin Branch,REP,Campbellton Comm Center,0,58,114,80,252,27.13
