Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,1 South Milton,-,-,-,-,952,61.74
President and Vice President,Donald J. Trump,REP,2 Wallace,-,-,-,-,2950,80.76
President and Vice President,Donald J. Trump,REP,3 Coon Hill,0,82,237,324,643,92.12
President and Vice President,Donald J. Trump,REP,4 Jay,0,225,349,774,1348,90.84
President and Vice President,Donald J. Trump,REP,5 McLellan,-,-,-,-,101,87.07
President and Vice President,Donald J. Trump,REP,6 Red Rock,-,-,-,-,93,89.42
President and Vice President,Donald J. Trump,REP,7 Munson,-,-,-,-,212,91.38
President and Vice President,Donald J. Trump,REP,8 North Milton,-,-,-,-,905,63.51
President and Vice President,Donald J. Trump,REP,9 Ward Basin,-,-,-,-,1796,77.65
President and Vice President,Donald J. Trump,REP,10 Holley,0,121,475,395,991,73.35
President and Vice President,Donald J. Trump,REP,11 Coldwater,0,157,242,467,866,84.49
President and Vice President,Donald J. Trump,REP,12 Point Baker,-,-,-,-,2333,69.43
President and Vice President,Donald J. Trump,REP,13 Allentown,0,175,414,545,1134,87.1
President and Vice President,Donald J. Trump,REP,14 Harold,-,-,-,-,530,84.13
President and Vice President,Donald J. Trump,REP,15 Ferris Hill,-,-,-,-,2039,64.42
President and Vice President,Donald J. Trump,REP,16 Bagdad,-,-,-,-,2056,70.51
President and Vice President,Donald J. Trump,REP,17 Fidelis,0,158,226,325,709,92.08
President and Vice President,Donald J. Trump,REP,18 Berryhill,-,-,-,-,3099,73.89
President and Vice President,Donald J. Trump,REP,19 Chumuckla,-,-,-,-,1247,90.49
President and Vice President,Donald J. Trump,REP,20 Pace,-,-,-,-,4084,75.14
President and Vice President,Donald J. Trump,REP,21 Avalon,-,-,-,-,2684,73.37
President and Vice President,Donald J. Trump,REP,22 Gulf Breeze,-,-,-,-,2839,65.04
President and Vice President,Donald J. Trump,REP,23 Midway,0,402,1188,465,2055,67.05
President and Vice President,Donald J. Trump,REP,24 Pea Ridge,-,-,-,-,4567,73.37
President and Vice President,Donald J. Trump,REP,25 Oriole Beach,0,385,1269,570,2224,68.83
President and Vice President,Donald J. Trump,REP,26 East Navarre,-,-,-,-,4260,68.13
President and Vice President,Donald J. Trump,REP,27 Woodbine,-,-,-,-,3463,75.53
President and Vice President,Donald J. Trump,REP,28 Tiger Point,-,-,-,-,2024,68.26
President and Vice President,Donald J. Trump,REP,29 West Navarre,-,-,-,-,1820,69.76
President and Vice President,Donald J. Trump,REP,30 Pine Terrace,-,-,-,-,2142,79.84
President and Vice President,Donald J. Trump,REP,31 Floridatown,0,184,475,311,970,74.9
President and Vice President,Donald J. Trump,REP,32 Grand Pointe,-,-,-,-,2111,68.47
President and Vice President,Donald J. Trump,REP,33 East Milton,0,336,931,589,1856,77.24
President and Vice President,Donald J. Trump,REP,34 Hidden Creek,-,-,-,-,6112,68.63
President and Vice President,Donald J. Trump,REP,35 Biscayne Pointe,0,600,1324,605,2529,63.3
President and Vice President,Donald J. Trump,REP,36 Mill Creek,-,-,-,-,1482,77.63
President and Vice President,Donald J. Trump,REP,37 Soundside,-,-,-,-,1498,70.53
