Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,Pre 1 Centenary United Methodi,0,121,221,132,474,40.76
President and Vice President,Donald J. Trump,REP,Pre 2 Havana Public Library,0,136,357,88,581,30.95
President and Vice President,Donald J. Trump,REP,Pre 3 Concordia Baptist Church,0,84,263,142,489,56.14
President and Vice President,Donald J. Trump,REP,Pre 4 Eugene Lamb Recreation C,0,82,183,72,337,14.29
President and Vice President,Donald J. Trump,REP,Pre 5 Quincy Recreation Center,0,69,73,40,182,8.58
President and Vice President,Donald J. Trump,REP,Pre 6 Wetumpka Fire Department,0,98,217,353,668,65.23
President and Vice President,Donald J. Trump,REP,"Pre 7 Union Chapel AME Church ",-,-,-,-,214,27.97
President and Vice President,Donald J. Trump,REP,Pre 8 Sycamore Methodist Churc,0,61,112,177,350,65.91
President and Vice President,Donald J. Trump,REP,Pre 9 Chattahoochee Recreation,0,128,279,103,510,40.00
President and Vice President,Donald J. Trump,REP,Pre 10 Mt. Pleasant Fire Depar,-,-,-,-,136,32.61
President and Vice President,Donald J. Trump,REP,Pre 11 Gretna Town Hall,0,60,88,67,215,17.61
President and Vice President,Donald J. Trump,REP,Pre 12 Greensboro Town Hall,-,-,-,-,324,51.92
President and Vice President,Donald J. Trump,REP,Pre 13 FAMU Research Center,-,-,-,-,62,5.51
President and Vice President,Donald J. Trump,REP,Pre 14 Shiloh Church,0,52,192,95,339,43.57
President and Vice President,Donald J. Trump,REP,Pre 15 St. James Baptist Churc,0,129,324,227,680,66.47
President and Vice President,Donald J. Trump,REP,"Pre 16 National Guard Armory  ",-,-,-,-,133,16.20
President and Vice President,Donald J. Trump,REP,"Pre 17 New Bethel AME Church  ",-,-,-,-,49,5.90
President and Vice President,Donald J. Trump,REP,Pre 18 St. Matthew Primitive B,-,-,-,-,158,19.58
President and Vice President,Donald J. Trump,REP,Pre 19 Hopewell Church,0,130,341,104,575,51.71
President and Vice President,Donald J. Trump,REP,Pre 20 Assembly of God,0,88,250,96,434,51.73
President and Vice President,Donald J. Trump,REP,"Pre 21 Green Shade AME Church ",0,32,77,52,161,38.15
President and Vice President,Donald J. Trump,REP,Pre 22 Second Elizabeth Church,-,-,-,-,130,24.34
President and Vice President,Donald J. Trump,REP,Pre 23 New Direction Christian,0,51,78,53,182,32.33
President and Vice President,Donald J. Trump,REP,Pre 24 St. Joseph Missionary B,-,-,-,-,11,3.08
President and Vice President,Donald J. Trump,REP,Pre 25 Elizabeth AME Church,-,-,-,-,71,23.67
President and Vice President,Joseph R. Biden,DEM,Pre 1 Centenary United Methodi,0,293,293,93,679,58.38
President and Vice President,Joseph R. Biden,DEM,Pre 2 Havana Public Library,0,515,579,190,1284,68.41
President and Vice President,Joseph R. Biden,DEM,Pre 3 Concordia Baptist Church,0,145,159,68,372,42.71
President and Vice President,Joseph R. Biden,DEM,Pre 4 Eugene Lamb Recreation C,-,-,-,-,2011,85.25
President and Vice President,Joseph R. Biden,DEM,Pre 5 Quincy Recreation Center,0,809,795,328,1932,91.05
President and Vice President,Joseph R. Biden,DEM,Pre 6 Wetumpka Fire Department,0,139,105,100,344,33.59
President and Vice President,Joseph R. Biden,DEM,"Pre 7 Union Chapel AME Church ",0,211,171,162,544,71.11
President and Vice President,Joseph R. Biden,DEM,Pre 8 Sycamore Methodist Churc,0,58,67,54,179,33.71
President and Vice President,Joseph R. Biden,DEM,Pre 9 Chattahoochee Recreation,0,281,338,138,757,59.37
President and Vice President,Joseph R. Biden,DEM,Pre 10 Mt. Pleasant Fire Depar,0,76,96,105,277,66.43
President and Vice President,Joseph R. Biden,DEM,Pre 11 Gretna Town Hall,0,359,383,255,997,81.65
President and Vice President,Joseph R. Biden,DEM,Pre 12 Greensboro Town Hall,0,98,82,113,293,46.96
President and Vice President,Joseph R. Biden,DEM,Pre 13 FAMU Research Center,-,-,-,-,1060,94.14
President and Vice President,Joseph R. Biden,DEM,Pre 14 Shiloh Church,0,147,191,92,430,55.27
President and Vice President,Joseph R. Biden,DEM,Pre 15 St. James Baptist Churc,0,157,131,50,338,33.04
President and Vice President,Joseph R. Biden,DEM,"Pre 16 National Guard Armory  ",-,-,-,-,682,83.07
President and Vice President,Joseph R. Biden,DEM,"Pre 17 New Bethel AME Church  ",-,-,-,-,782,94.10
President and Vice President,Joseph R. Biden,DEM,Pre 18 St. Matthew Primitive B,-,-,-,-,646,80.05
President and Vice President,Joseph R. Biden,DEM,Pre 19 Hopewell Church,0,222,240,70,532,47.84
President and Vice President,Joseph R. Biden,DEM,Pre 20 Assembly of God,-,-,-,-,403,48.03
President and Vice President,Joseph R. Biden,DEM,"Pre 21 Green Shade AME Church ",0,108,89,60,257,60.90
