Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,PCT. 001,-,-,-,-,1677,79.07
President and Vice President,Donald J. Trump,REP,PCT. 002,-,-,-,-,2067,66.21
President and Vice President,Donald J. Trump,REP,PCT. 003,-,-,-,-,1221,42.51
President and Vice President,Donald J. Trump,REP,PCT. 004,-,-,-,-,1731,43.51
President and Vice President,Donald J. Trump,REP,PCT. 005,-,-,-,-,3219,67.26
President and Vice President,Donald J. Trump,REP,PCT. 006,-,-,-,-,720,48.75
President and Vice President,Donald J. Trump,REP,PCT. 007,-,-,-,-,522,19.93
President and Vice President,Donald J. Trump,REP,PCT. 008,-,-,-,-,806,26.63
President and Vice President,Donald J. Trump,REP,PCT. 009,-,-,-,-,1457,43.69
President and Vice President,Donald J. Trump,REP,PCT. 010,-,-,-,-,1779,54.01
President and Vice President,Donald J. Trump,REP,PCT. 011,-,-,-,-,1836,56.39
President and Vice President,Donald J. Trump,REP,PCT. 012,-,-,-,-,1692,62.34
President and Vice President,Donald J. Trump,REP,PCT. 013,-,-,-,-,2070,59.19
President and Vice President,Donald J. Trump,REP,PCT. 014,-,-,-,-,708,58.37
President and Vice President,Donald J. Trump,REP,PCT. 015,-,-,-,-,1697,65.24
President and Vice President,Donald J. Trump,REP,PCT. 016,-,-,-,-,725,47.45
President and Vice President,Donald J. Trump,REP,PCT. 017,-,-,-,-,157,58.15
President and Vice President,Donald J. Trump,REP,PCT. 018,-,-,-,-,586,60.98
President and Vice President,Donald J. Trump,REP,PCT. 019,-,-,-,-,485,71.85
President and Vice President,Donald J. Trump,REP,PCT. 020,-,-,-,-,1769,53.04
President and Vice President,Donald J. Trump,REP,PCT. 021,-,-,-,-,1366,63.86
President and Vice President,Donald J. Trump,REP,PCT. 022,-,-,-,-,1697,63.68
President and Vice President,Donald J. Trump,REP,PCT. 023,-,-,-,-,1418,60.55
