Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,Precinct 1,-,-,-,-,2618,61.60
President and Vice President,Donald J. Trump,REP,Precinct 6,0,194,461,112,767,42.07
President and Vice President,Donald J. Trump,REP,Precinct 7,-,-,-,-,542,33.03
President and Vice President,Donald J. Trump,REP,Precinct 8,-,-,-,-,1683,63.77
President and Vice President,Donald J. Trump,REP,Precinct 9,0,693,497,494,1684,61.96
President and Vice President,Donald J. Trump,REP,Precinct 10,0,65,89,59,213,49.08
President and Vice President,Donald J. Trump,REP,Precinct 11,0,299,547,180,1026,55.25
President and Vice President,Donald J. Trump,REP,Precinct 12,-,-,-,-,2799,67.72
President and Vice President,Donald J. Trump,REP,Precinct 13,-,-,-,-,1273,52.67
President and Vice President,Donald J. Trump,REP,Precinct 14,-,-,-,-,250,12.03
President and Vice President,Donald J. Trump,REP,Precinct 15,-,-,-,-,2123,64.37
President and Vice President,Donald J. Trump,REP,Precinct 16,0,757,689,603,2049,62.34
President and Vice President,Donald J. Trump,REP,Precinct 17,-,-,-,-,97,4.75
President and Vice President,Donald J. Trump,REP,Precinct 18,-,-,-,-,82,6.87
President and Vice President,Donald J. Trump,REP,Precinct 19,-,-,-,-,439,23.64
President and Vice President,Donald J. Trump,REP,Precinct 20,0,147,190,172,509,56.87
President and Vice President,Donald J. Trump,REP,Precinct 21,-,-,-,-,1409,54.93
President and Vice President,Donald J. Trump,REP,Precinct 22,0,537,979,343,1859,53.07
President and Vice President,Donald J. Trump,REP,Precinct 23,-,-,-,-,1486,48.50
President and Vice President,Donald J. Trump,REP,Precinct 24,-,-,-,-,181,13.37
President and Vice President,Donald J. Trump,REP,Precinct 25,-,-,-,-,1497,47.31
President and Vice President,Donald J. Trump,REP,Precinct 26,-,-,-,-,1712,48.10
President and Vice President,Donald J. Trump,REP,Precinct 28,-,-,-,-,1481,76.70
President and Vice President,Donald J. Trump,REP,Precinct 29,0,82,249,70,401,64.99
President and Vice President,Donald J. Trump,REP,Precinct 31,-,-,-,-,990,63.71
President and Vice President,Donald J. Trump,REP,Precinct 33,-,-,-,-,196,61.44
President and Vice President,Donald J. Trump,REP,Precinct 35,0,198,335,204,737,47.18
President and Vice President,Donald J. Trump,REP,Precinct 36,0,204,425,147,776,50.16
President and Vice President,Donald J. Trump,REP,Precinct 37,0,568,986,516,2070,44.78
President and Vice President,Donald J. Trump,REP,Precinct 38,0,200,251,240,691,52.39
President and Vice President,Donald J. Trump,REP,Precinct 39,-,-,-,-,983,55.29
President and Vice President,Donald J. Trump,REP,Precinct 40,0,202,306,218,726,46.15
President and Vice President,Donald J. Trump,REP,Precinct 41,-,-,-,-,1721,50.51
President and Vice President,Donald J. Trump,REP,Precinct 42,0,960,1198,414,2572,58.52
President and Vice President,Donald J. Trump,REP,Precinct 43,-,-,-,-,2541,63.32
President and Vice President,Donald J. Trump,REP,Precinct 45,-,-,-,-,1129,54.30
President and Vice President,Donald J. Trump,REP,Precinct 46,-,-,-,-,1409,46.75
President and Vice President,Donald J. Trump,REP,Precinct 47,0,339,616,336,1291,46.11
President and Vice President,Donald J. Trump,REP,Precinct 49,-,-,-,-,2134,49.50
President and Vice President,Donald J. Trump,REP,Precinct 50,-,-,-,-,3214,45.78
President and Vice President,Donald J. Trump,REP,Precinct 51,-,-,-,-,1479,43.67
President and Vice President,Donald J. Trump,REP,Precinct 52,0,338,401,258,997,59.49
President and Vice President,Donald J. Trump,REP,Precinct 53,-,-,-,-,1763,52.42
President and Vice President,Donald J. Trump,REP,Precinct 56,0,404,570,260,1234,52.49
President and Vice President,Donald J. Trump,REP,Precinct 60,-,-,-,-,314,68.41
President and Vice President,Donald J. Trump,REP,Precinct 63,-,-,-,-,70,50.72
President and Vice President,Donald J. Trump,REP,Precinct 65,-,-,-,-,593,66.93
President and Vice President,Donald J. Trump,REP,Precinct 66,-,-,-,-,1064,59.81
President and Vice President,Donald J. Trump,REP,Precinct 67,0,501,570,307,1378,54.21
President and Vice President,Donald J. Trump,REP,Precinct 68,-,-,-,-,1319,42.38
President and Vice President,Donald J. Trump,REP,Precinct 71,0,648,1166,528,2342,45.42
President and Vice President,Donald J. Trump,REP,Precinct 73,-,-,-,-,2279,47.04
President and Vice President,Donald J. Trump,REP,Precinct 74,0,439,346,478,1263,58.85
President and Vice President,Donald J. Trump,REP,Precinct 75,0,263,474,202,939,48.86
President and Vice President,Donald J. Trump,REP,Precinct 82,-,-,-,-,1743,53.40
President and Vice President,Donald J. Trump,REP,Precinct 83,-,-,-,-,2779,43.04
President and Vice President,Donald J. Trump,REP,Precinct 84,-,-,-,-,2219,49.40
President and Vice President,Donald J. Trump,REP,Precinct 85,0,2199,2114,772,5085,49.06
President and Vice President,Donald J. Trump,REP,Precinct 86,0,557,628,227,1412,59.30
President and Vice President,Donald J. Trump,REP,Precinct 89,-,-,-,-,4826,51.92
President and Vice President,Donald J. Trump,REP,Precinct 91,-,-,-,-,240,45.45
President and Vice President,Donald J. Trump,REP,Precinct 92,-,-,-,-,124,78.48
President and Vice President,Donald J. Trump,REP,Precinct 93,-,-,-,-,4,80.00
President and Vice President,Donald J. Trump,REP,Precinct 94,-,-,-,-,5,100.00
