Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,Precinct 101,-,-,-,1605,80.45
President and Vice President,Donald J. Trump,REP,Precinct 102,-,-,-,833,79.94
President and Vice President,Donald J. Trump,REP,Precinct 103,-,-,-,1561,45.00
President and Vice President,Donald J. Trump,REP,Precinct 104,355,442,326,1123,45.69
President and Vice President,Donald J. Trump,REP,Precinct 105,-,-,-,684,39.47
President and Vice President,Donald J. Trump,REP,Precinct 106,-,-,-,938,74.92
President and Vice President,Donald J. Trump,REP,Precinct 107,-,-,-,2623,71.80
President and Vice President,Donald J. Trump,REP,Precinct 108,195,233,469,897,77.06
President and Vice President,Donald J. Trump,REP,Precinct 109,-,-,-,2821,62.25
President and Vice President,Donald J. Trump,REP,Precinct 110,-,-,-,2207,64.74
President and Vice President,Donald J. Trump,REP,Precinct 111,-,-,-,3857,68.56
President and Vice President,Donald J. Trump,REP,Precinct 112,-,-,-,1809,53.62
President and Vice President,Donald J. Trump,REP,Precinct 113,-,-,-,978,80.63
President and Vice President,Donald J. Trump,REP,Precinct 114,-,-,-,1946,56.80
President and Vice President,Donald J. Trump,REP,Precinct 115,-,-,-,1839,62.72
President and Vice President,Donald J. Trump,REP,Precinct 116,186,279,224,689,63.50
President and Vice President,Donald J. Trump,REP,Precinct 117,-,-,-,2678,58.65
President and Vice President,Donald J. Trump,REP,Precinct 118,-,-,-,3827,68.63
President and Vice President,Donald J. Trump,REP,Precinct 119,185,260,332,777,73.65
President and Vice President,Donald J. Trump,REP,Precinct 120,-,-,-,1119,56.26
President and Vice President,Donald J. Trump,REP,Precinct 121,-,-,-,1204,47.12
President and Vice President,Donald J. Trump,REP,Precinct 123,-,-,-,1025,41.16
President and Vice President,Donald J. Trump,REP,Precinct 124,-,-,-,1900,41.53
President and Vice President,Donald J. Trump,REP,Precinct 125,69,65,88,222,57.66
President and Vice President,Donald J. Trump,REP,Precinct 201,-,-,-,1287,49.46
President and Vice President,Donald J. Trump,REP,Precinct 203,-,-,-,1046,61.38
President and Vice President,Donald J. Trump,REP,Precinct 204,41,63,61,165,8.85
President and Vice President,Donald J. Trump,REP,Precinct 205,-,-,-,254,16.08
President and Vice President,Donald J. Trump,REP,Precinct 206,-,-,-,559,45.34
President and Vice President,Donald J. Trump,REP,Precinct 207,-,-,-,494,59.52
President and Vice President,Donald J. Trump,REP,Precinct 208,-,-,-,1621,62.90
President and Vice President,Donald J. Trump,REP,Precinct 209,-,-,-,433,37.26
President and Vice President,Donald J. Trump,REP,Precinct 210,-,-,-,126,19.57
President and Vice President,Donald J. Trump,REP,Precinct 211,-,-,-,488,43.61
President and Vice President,Donald J. Trump,REP,Precinct 212,-,-,-,721,63.13
President and Vice President,Donald J. Trump,REP,Precinct 213,90,78,187,355,50.21
President and Vice President,Donald J. Trump,REP,Precinct 214,-,-,-,483,40.15
President and Vice President,Donald J. Trump,REP,Precinct 215,30,47,37,114,79.17
President and Vice President,Donald J. Trump,REP,Precinct 216,180,155,133,468,46.25
President and Vice President,Donald J. Trump,REP,Precinct 217,-,-,-,733,44.64
President and Vice President,Donald J. Trump,REP,Precinct 218,193,297,317,807,54.45
President and Vice President,Donald J. Trump,REP,Precinct 219,-,-,-,648,56.45
President and Vice President,Donald J. Trump,REP,Precinct 220,-,-,-,1732,61.70
President and Vice President,Donald J. Trump,REP,Precinct 221,-,-,-,1596,61.86
President and Vice President,Donald J. Trump,REP,Precinct 222,-,-,-,827,55.21
President and Vice President,Donald J. Trump,REP,Precinct 223,-,-,-,602,52.03
President and Vice President,Donald J. Trump,REP,Precinct 224,-,-,-,1231,63.16
President and Vice President,Donald J. Trump,REP,Precinct 225,-,-,-,836,44.23
President and Vice President,Donald J. Trump,REP,Precinct 226,-,-,-,871,58.65
President and Vice President,Donald J. Trump,REP,Precinct 227,-,-,-,386,79.92
President and Vice President,Donald J. Trump,REP,Precinct 228,-,-,-,906,54.58
President and Vice President,Donald J. Trump,REP,Precinct 229,-,-,-,1158,57.04
President and Vice President,Donald J. Trump,REP,Precinct 230,274,317,377,968,53.42
President and Vice President,Donald J. Trump,REP,Precinct 231,-,-,-,1373,53.20
President and Vice President,Donald J. Trump,REP,Precinct 232,-,-,-,902,62.38
President and Vice President,Donald J. Trump,REP,Precinct 233,-,-,-,641,60.36
President and Vice President,Donald J. Trump,REP,Precinct 234,-,-,-,339,69.61
President and Vice President,Donald J. Trump,REP,Precinct 235,-,-,-,1532,63.99
President and Vice President,Donald J. Trump,REP,Precinct 236,-,-,-,2179,62.01
President and Vice President,Donald J. Trump,REP,Precinct 237,-,-,-,3253,70.18
President and Vice President,Donald J. Trump,REP,Precinct 238,-,-,-,1362,54.37
President and Vice President,Donald J. Trump,REP,Precinct 239,-,-,-,2001,65.87
President and Vice President,Donald J. Trump,REP,Precinct 240,-,-,-,1278,69.31
President and Vice President,Donald J. Trump,REP,Precinct 241,-,-,-,2364,64.19
President and Vice President,Donald J. Trump,REP,Precinct 242,-,-,-,1660,62.59
President and Vice President,Donald J. Trump,REP,Precinct 243,-,-,-,2934,64.44
President and Vice President,Donald J. Trump,REP,Precinct 244,-,-,-,1636,68.60
President and Vice President,Donald J. Trump,REP,Precinct 245,-,-,-,2798,61.55
President and Vice President,Donald J. Trump,REP,Precinct 246,-,-,-,540,69.59
President and Vice President,Donald J. Trump,REP,Precinct 247,-,-,-,1448,60.46
President and Vice President,Donald J. Trump,REP,Precinct 248,-,-,-,3295,65.25
President and Vice President,Donald J. Trump,REP,Precinct 249,-,-,-,1864,65.96
President and Vice President,Donald J. Trump,REP,Precinct 250,-,-,-,1458,60.20
President and Vice President,Donald J. Trump,REP,Precinct 251,-,-,-,535,70.58
President and Vice President,Donald J. Trump,REP,Precinct 301,274,300,189,763,60.75
President and Vice President,Donald J. Trump,REP,Precinct 302,-,-,-,875,40.58
President and Vice President,Donald J. Trump,REP,Precinct 303,-,-,-,2678,72.91
President and Vice President,Donald J. Trump,REP,Precinct 304,-,-,-,3041,68.74
President and Vice President,Donald J. Trump,REP,Precinct 306,-,-,-,1329,63.20
President and Vice President,Donald J. Trump,REP,Precinct 307,-,-,-,791,67.38
President and Vice President,Donald J. Trump,REP,Precinct 309,-,-,-,1805,66.38
President and Vice President,Donald J. Trump,REP,Precinct 310,132,166,151,449,66.22
President and Vice President,Donald J. Trump,REP,Precinct 312,-,-,-,1982,57.12
President and Vice President,Donald J. Trump,REP,Precinct 313,570,456,337,1363,47.98
President and Vice President,Donald J. Trump,REP,Precinct 314,756,682,446,1884,56.10
President and Vice President,Donald J. Trump,REP,Precinct 315,135,101,181,417,74.73
President and Vice President,Donald J. Trump,REP,Precinct 316,80,98,112,290,45.45
President and Vice President,Donald J. Trump,REP,Precinct 319,-,-,-,1586,56.40
President and Vice President,Donald J. Trump,REP,Precinct 321,-,-,-,1555,69.30
President and Vice President,Donald J. Trump,REP,Precinct 322,-,-,-,731,48.35
President and Vice President,Donald J. Trump,REP,Precinct 323,-,-,-,768,50.63
President and Vice President,Donald J. Trump,REP,Precinct 324,-,-,-,629,52.55
President and Vice President,Donald J. Trump,REP,Precinct 325,55,49,48,152,9.97
President and Vice President,Donald J. Trump,REP,Precinct 326,-,-,-,1753,47.83
President and Vice President,Donald J. Trump,REP,Precinct 327,542,673,707,1922,55.21
President and Vice President,Donald J. Trump,REP,Precinct 329,-,-,-,1505,55.64
President and Vice President,Donald J. Trump,REP,Precinct 330,251,223,177,651,52.21
President and Vice President,Donald J. Trump,REP,Precinct 331,-,-,-,1085,65.13
President and Vice President,Donald J. Trump,REP,Precinct 332,-,-,-,1774,61.24
President and Vice President,Donald J. Trump,REP,Precinct 333,-,-,-,1893,65.10
President and Vice President,Donald J. Trump,REP,Precinct 334,-,-,-,814,70.66
President and Vice President,Donald J. Trump,REP,Precinct 336,-,-,-,1549,67.79
President and Vice President,Donald J. Trump,REP,Precinct 337,-,-,-,1694,62.53
President and Vice President,Donald J. Trump,REP,Precinct 338,161,218,391,770,59.60
President and Vice President,Donald J. Trump,REP,Precinct 339,-,-,-,2465,67.28
President and Vice President,Donald J. Trump,REP,Precinct 340,-,-,-,367,53.65
President and Vice President,Donald J. Trump,REP,Precinct 401,-,-,-,1312,37.33
President and Vice President,Donald J. Trump,REP,Precinct 402,-,-,-,2639,50.72
President and Vice President,Donald J. Trump,REP,Precinct 403,-,-,-,1379,45.81
President and Vice President,Donald J. Trump,REP,Precinct 404,-,-,-,2198,43.60
President and Vice President,Donald J. Trump,REP,Precinct 405,-,-,-,350,43.32
President and Vice President,Donald J. Trump,REP,Precinct 406,-,-,-,945,44.47
President and Vice President,Donald J. Trump,REP,Precinct 407,-,-,-,873,26.98
President and Vice President,Donald J. Trump,REP,Precinct 408,-,-,-,1962,42.12
President and Vice President,Donald J. Trump,REP,Precinct 409,-,-,-,1030,43.10
President and Vice President,Donald J. Trump,REP,Precinct 410,98,178,140,416,52.86
President and Vice President,Donald J. Trump,REP,Precinct 411,1197,998,593,2788,48.02
President and Vice President,Donald J. Trump,REP,Precinct 412,-,-,-,1356,28.55
President and Vice President,Donald J. Trump,REP,Precinct 413,-,-,-,630,52.37
President and Vice President,Donald J. Trump,REP,Precinct 414,-,-,-,1178,67.82
President and Vice President,Donald J. Trump,REP,Precinct 415,-,-,-,2321,58.95
President and Vice President,Donald J. Trump,REP,Precinct 416,-,-,-,1432,51.60
President and Vice President,Donald J. Trump,REP,Precinct 418,-,-,-,1624,73.92
President and Vice President,Donald J. Trump,REP,Precinct 419,-,-,-,1577,30.00
President and Vice President,Donald J. Trump,REP,Precinct 420,164,151,83,398,43.98
President and Vice President,Donald J. Trump,REP,Precinct 421,309,395,102,806,50.38
President and Vice President,Donald J. Trump,REP,Precinct 501,-,-,-,32,7.53
President and Vice President,Donald J. Trump,REP,Precinct 502,-,-,-,9,16.67
President and Vice President,Donald J. Trump,REP,Precinct 503,-,-,-,75,34.72
President and Vice President,Donald J. Trump,REP,Precinct 504,-,-,-,1500,56.39
President and Vice President,Donald J. Trump,REP,Precinct 505,-,-,-,505,42.72
President and Vice President,Donald J. Trump,REP,Precinct 506,282,246,197,725,66.33
President and Vice President,Donald J. Trump,REP,Precinct 507,-,-,-,1158,65.57
President and Vice President,Donald J. Trump,REP,Precinct 508,-,-,-,1031,71.75
President and Vice President,Donald J. Trump,REP,Precinct 509,74,67,37,178,21.60
President and Vice President,Donald J. Trump,REP,Precinct 510,-,-,-,507,52.59
President and Vice President,Donald J. Trump,REP,Precinct 511,304,382,401,1087,74.81
President and Vice President,Donald J. Trump,REP,Precinct 512,63,114,168,345,59.69
President and Vice President,Donald J. Trump,REP,Precinct 513,-,-,-,58,41.43
President and Vice President,Donald J. Trump,REP,Precinct 514,-,-,-,1009,78.58
President and Vice President,Donald J. Trump,REP,Precinct 516,187,167,367,721,73.95
President and Vice President,Donald J. Trump,REP,Precinct 517,-,-,-,367,41.66
President and Vice President,Donald J. Trump,REP,Precinct 518,-,-,-,1456,76.59
President and Vice President,Donald J. Trump,REP,Precinct 519,-,-,-,566,53.25
President and Vice President,Donald J. Trump,REP,Precinct 520,47,94,138,279,64.29
President and Vice President,Donald J. Trump,REP,Precinct 521,110,123,143,376,58.75
President and Vice President,Donald J. Trump,REP,Precinct 522,-,-,-,1394,54.67
President and Vice President,Donald J. Trump,REP,Precinct 523,46,53,41,140,23.10
President and Vice President,Donald J. Trump,REP,Precinct 524,-,-,-,1305,63.94
President and Vice President,Donald J. Trump,REP,Precinct 525,72,71,44,187,67.03
President and Vice President,Donald J. Trump,REP,Precinct 526,-,-,-,1116,63.27
President and Vice President,Donald J. Trump,REP,Precinct 527,-,-,-,905,50.47
President and Vice President,Donald J. Trump,REP,Precinct 528,-,-,-,112,22.36
President and Vice President,Donald J. Trump,REP,Precinct 529,489,462,458,1409,55.58
President and Vice President,Donald J. Trump,REP,Precinct 530,-,-,-,1281,52.87
President and Vice President,Donald J. Trump,REP,Precinct 531,179,181,202,562,67.79
President and Vice President,Donald J. Trump,REP,Precinct 532,137,182,267,586,51.86
President and Vice President,Donald J. Trump,REP,Precinct 533,-,-,-,1263,62.37
President and Vice President,Donald J. Trump,REP,Precinct 534,-,-,-,686,76.22
President and Vice President,Donald J. Trump,REP,Precinct 535,-,-,-,514,70.99
President and Vice President,Donald J. Trump,REP,Precinct 536,-,-,-,914,73.89
President and Vice President,Donald J. Trump,REP,Precinct 537,451,392,840,1683,76.43
President and Vice President,Donald J. Trump,REP,Precinct 538,-,-,-,414,61.88
President and Vice President,Donald J. Trump,REP,Precinct 539,181,167,283,631,60.10
President and Vice President,Donald J. Trump,REP,Precinct 540,-,-,-,857,78.62
President and Vice President,Donald J. Trump,REP,Precinct 541,-,-,-,14,77.78
President and Vice President,Donald J. Trump,REP,Precinct 542,-,-,-,1616,70.63
President and Vice President,Joseph R. Biden,DEM,Precinct 101,203,63,97,363,18.20
President and Vice President,Joseph R. Biden,DEM,Precinct 102,107,33,60,200,19.19
President and Vice President,Joseph R. Biden,DEM,Precinct 103,-,-,-,1881,54.22
President and Vice President,Joseph R. Biden,DEM,Precinct 104,-,-,-,1302,52.97
President and Vice President,Joseph R. Biden,DEM,Precinct 105,-,-,-,1026,59.20
President and Vice President,Joseph R. Biden,DEM,Precinct 106,-,-,-,293,23.40
President and Vice President,Joseph R. Biden,DEM,Precinct 107,547,259,186,992,27.16
President and Vice President,Joseph R. Biden,DEM,Precinct 108,112,74,68,254,21.82
President and Vice President,Joseph R. Biden,DEM,Precinct 109,-,-,-,1667,36.78
President and Vice President,Joseph R. Biden,DEM,Precinct 110,-,-,-,1140,33.44
President and Vice President,Joseph R. Biden,DEM,Precinct 111,-,-,-,1696,30.15
President and Vice President,Joseph R. Biden,DEM,Precinct 112,-,-,-,1518,44.99
President and Vice President,Joseph R. Biden,DEM,Precinct 113,98,73,50,221,18.22
President and Vice President,Joseph R. Biden,DEM,Precinct 114,-,-,-,1425,41.59
President and Vice President,Joseph R. Biden,DEM,Precinct 115,-,-,-,1044,35.61
President and Vice President,Joseph R. Biden,DEM,Precinct 116,172,129,80,381,35.12
President and Vice President,Joseph R. Biden,DEM,Precinct 117,-,-,-,1830,40.08
President and Vice President,Joseph R. Biden,DEM,Precinct 118,-,-,-,1681,30.15
President and Vice President,Joseph R. Biden,DEM,Precinct 119,138,63,62,263,24.93
President and Vice President,Joseph R. Biden,DEM,Precinct 120,530,210,110,850,42.74
President and Vice President,Joseph R. Biden,DEM,Precinct 121,-,-,-,1325,51.86
President and Vice President,Joseph R. Biden,DEM,Precinct 123,-,-,-,1435,57.63
President and Vice President,Joseph R. Biden,DEM,Precinct 124,-,-,-,2620,57.27
President and Vice President,Joseph R. Biden,DEM,Precinct 125,71,43,33,147,38.18
President and Vice President,Joseph R. Biden,DEM,Precinct 201,-,-,-,1277,49.08
President and Vice President,Joseph R. Biden,DEM,Precinct 203,-,-,-,630,36.97
President and Vice President,Joseph R. Biden,DEM,Precinct 204,-,-,-,1686,90.40
President and Vice President,Joseph R. Biden,DEM,Precinct 205,-,-,-,1311,82.97
President and Vice President,Joseph R. Biden,DEM,Precinct 206,-,-,-,661,53.61
President and Vice President,Joseph R. Biden,DEM,Precinct 207,-,-,-,323,38.92
President and Vice President,Joseph R. Biden,DEM,Precinct 208,-,-,-,940,36.48
President and Vice President,Joseph R. Biden,DEM,Precinct 209,-,-,-,718,61.79
President and Vice President,Joseph R. Biden,DEM,Precinct 210,-,-,-,513,79.66
President and Vice President,Joseph R. Biden,DEM,Precinct 211,-,-,-,608,54.33
President and Vice President,Joseph R. Biden,DEM,Precinct 212,223,78,108,409,35.81
President and Vice President,Joseph R. Biden,DEM,Precinct 213,141,87,109,337,47.67
President and Vice President,Joseph R. Biden,DEM,Precinct 214,281,203,213,697,57.94
President and Vice President,Joseph R. Biden,DEM,Precinct 215,-,-,-,27,18.75
President and Vice President,Joseph R. Biden,DEM,Precinct 216,323,122,79,524,51.78
President and Vice President,Joseph R. Biden,DEM,Precinct 217,-,-,-,869,52.92
President and Vice President,Joseph R. Biden,DEM,Precinct 218,-,-,-,646,43.59
President and Vice President,Joseph R. Biden,DEM,Precinct 219,-,-,-,479,41.72
President and Vice President,Joseph R. Biden,DEM,Precinct 220,-,-,-,1038,36.98
President and Vice President,Joseph R. Biden,DEM,Precinct 221,617,192,147,956,37.05
President and Vice President,Joseph R. Biden,DEM,Precinct 222,376,159,112,647,43.19
President and Vice President,Joseph R. Biden,DEM,Precinct 223,-,-,-,528,45.64
President and Vice President,Joseph R. Biden,DEM,Precinct 224,-,-,-,674,34.58
President and Vice President,Joseph R. Biden,DEM,Precinct 225,-,-,-,1020,53.97
President and Vice President,Joseph R. Biden,DEM,Precinct 226,270,172,154,596,40.13
President and Vice President,Joseph R. Biden,DEM,Precinct 227,-,-,-,88,18.22
President and Vice President,Joseph R. Biden,DEM,Precinct 228,388,203,133,724,43.61
President and Vice President,Joseph R. Biden,DEM,Precinct 229,-,-,-,828,40.79
President and Vice President,Joseph R. Biden,DEM,Precinct 230,-,-,-,804,44.37
President and Vice President,Joseph R. Biden,DEM,Precinct 231,-,-,-,1146,44.40
President and Vice President,Joseph R. Biden,DEM,Precinct 232,247,154,112,513,35.48
President and Vice President,Joseph R. Biden,DEM,Precinct 233,201,114,83,398,37.48
President and Vice President,Joseph R. Biden,DEM,Precinct 234,-,-,-,139,28.54
President and Vice President,Joseph R. Biden,DEM,Precinct 235,472,224,127,823,34.38
President and Vice President,Joseph R. Biden,DEM,Precinct 236,-,-,-,1257,35.77
President and Vice President,Joseph R. Biden,DEM,Precinct 237,739,394,186,1319,28.46
President and Vice President,Joseph R. Biden,DEM,Precinct 238,-,-,-,1096,43.75
President and Vice President,Joseph R. Biden,DEM,Precinct 239,619,247,135,1001,32.95
President and Vice President,Joseph R. Biden,DEM,Precinct 240,311,151,87,549,29.77
President and Vice President,Joseph R. Biden,DEM,Precinct 241,-,-,-,1283,34.84
President and Vice President,Joseph R. Biden,DEM,Precinct 242,469,297,178,944,35.60
President and Vice President,Joseph R. Biden,DEM,Precinct 243,735,587,246,1568,34.44
President and Vice President,Joseph R. Biden,DEM,Precinct 244,-,-,-,708,29.69
President and Vice President,Joseph R. Biden,DEM,Precinct 245,-,-,-,1675,36.85
President and Vice President,Joseph R. Biden,DEM,Precinct 246,105,64,60,229,29.51
President and Vice President,Joseph R. Biden,DEM,Precinct 247,475,360,85,920,38.41
President and Vice President,Joseph R. Biden,DEM,Precinct 248,963,520,199,1682,33.31
President and Vice President,Joseph R. Biden,DEM,Precinct 249,485,290,150,925,32.73
President and Vice President,Joseph R. Biden,DEM,Precinct 250,437,325,152,914,37.74
President and Vice President,Joseph R. Biden,DEM,Precinct 251,82,86,37,205,27.04
President and Vice President,Joseph R. Biden,DEM,Precinct 301,287,116,73,476,37.90
President and Vice President,Joseph R. Biden,DEM,Precinct 302,-,-,-,1253,58.12
President and Vice President,Joseph R. Biden,DEM,Precinct 303,-,-,-,955,26.00
President and Vice President,Joseph R. Biden,DEM,Precinct 304,678,409,254,1341,30.31
President and Vice President,Joseph R. Biden,DEM,Precinct 306,-,-,-,756,35.95
President and Vice President,Joseph R. Biden,DEM,Precinct 307,143,93,133,369,31.43
President and Vice President,Joseph R. Biden,DEM,Precinct 309,-,-,-,878,32.29
President and Vice President,Joseph R. Biden,DEM,Precinct 310,127,50,45,222,32.74
President and Vice President,Joseph R. Biden,DEM,Precinct 312,-,-,-,1453,41.87
President and Vice President,Joseph R. Biden,DEM,Precinct 313,-,-,-,1450,51.04
President and Vice President,Joseph R. Biden,DEM,Precinct 314,-,-,-,1449,43.15
President and Vice President,Joseph R. Biden,DEM,Precinct 315,-,-,-,134,24.01
President and Vice President,Joseph R. Biden,DEM,Precinct 316,-,-,-,344,53.92
President and Vice President,Joseph R. Biden,DEM,Precinct 319,629,372,188,1189,42.28
President and Vice President,Joseph R. Biden,DEM,Precinct 321,348,206,98,652,29.06
President and Vice President,Joseph R. Biden,DEM,Precinct 322,-,-,-,758,50.13
President and Vice President,Joseph R. Biden,DEM,Precinct 323,-,-,-,726,47.86
President and Vice President,Joseph R. Biden,DEM,Precinct 324,-,-,-,557,46.53
President and Vice President,Joseph R. Biden,DEM,Precinct 325,-,-,-,1358,89.11
President and Vice President,Joseph R. Biden,DEM,Precinct 326,-,-,-,1850,50.48
President and Vice President,Joseph R. Biden,DEM,Precinct 327,-,-,-,1520,43.67
President and Vice President,Joseph R. Biden,DEM,Precinct 329,604,335,215,1154,42.66
President and Vice President,Joseph R. Biden,DEM,Precinct 330,-,-,-,584,46.83
President and Vice President,Joseph R. Biden,DEM,Precinct 331,-,-,-,567,34.03
President and Vice President,Joseph R. Biden,DEM,Precinct 332,554,280,244,1078,37.21
President and Vice President,Joseph R. Biden,DEM,Precinct 333,533,290,155,978,33.63
President and Vice President,Joseph R. Biden,DEM,Precinct 334,161,94,75,330,28.65
President and Vice President,Joseph R. Biden,DEM,Precinct 336,357,197,149,703,30.77
President and Vice President,Joseph R. Biden,DEM,Precinct 337,-,-,-,983,36.29
President and Vice President,Joseph R. Biden,DEM,Precinct 338,-,-,-,499,38.62
President and Vice President,Joseph R. Biden,DEM,Precinct 339,650,351,146,1147,31.30
President and Vice President,Joseph R. Biden,DEM,Precinct 340,140,90,75,305,44.59
President and Vice President,Joseph R. Biden,DEM,Precinct 401,-,-,-,2141,60.91
President and Vice President,Joseph R. Biden,DEM,Precinct 402,-,-,-,2521,48.45
President and Vice President,Joseph R. Biden,DEM,Precinct 403,-,-,-,1608,53.42
President and Vice President,Joseph R. Biden,DEM,Precinct 404,-,-,-,2781,55.17
President and Vice President,Joseph R. Biden,DEM,Precinct 405,150,164,131,445,55.07
President and Vice President,Joseph R. Biden,DEM,Precinct 406,-,-,-,1144,53.84
President and Vice President,Joseph R. Biden,DEM,Precinct 407,-,-,-,2339,72.28
President and Vice President,Joseph R. Biden,DEM,Precinct 408,-,-,-,2642,56.72
President and Vice President,Joseph R. Biden,DEM,Precinct 409,-,-,-,1327,55.52
President and Vice President,Joseph R. Biden,DEM,Precinct 410,-,-,-,365,46.38
President and Vice President,Joseph R. Biden,DEM,Precinct 411,-,-,-,2997,51.62
President and Vice President,Joseph R. Biden,DEM,Precinct 412,-,-,-,3355,70.63
President and Vice President,Joseph R. Biden,DEM,Precinct 413,163,194,203,560,46.55
