Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,101,267,629,211,1107,47.90
President and Vice President,Donald J. Trump,REP,102,980,1852,431,3263,57.77
President and Vice President,Donald J. Trump,REP,201,1085,1824,469,3378,61.87
President and Vice President,Donald J. Trump,REP,202,1095,1214,246,2555,62.29
President and Vice President,Donald J. Trump,REP,203,556,1144,728,2428,73.35
President and Vice President,Donald J. Trump,REP,204,1099,2517,538,4154,66.35
President and Vice President,Donald J. Trump,REP,301,614,1535,278,2427,69.60
President and Vice President,Donald J. Trump,REP,302,721,2093,509,3323,73.65
President and Vice President,Donald J. Trump,REP,303,546,1795,552,2893,76.53
President and Vice President,Donald J. Trump,REP,401,706,2948,550,4204,86.36
President and Vice President,Donald J. Trump,REP,402,169,860,181,1210,94.09
President and Vice President,Donald J. Trump,REP,403,433,1230,715,2378,91.11
President and Vice President,Donald J. Trump,REP,501,353,1123,257,1733,66.65
President and Vice President,Donald J. Trump,REP,503,727,3197,648,4572,84.70
President and Vice President,Donald J. Trump,REP,504,501,1920,517,2938,89.68
President and Vice President,Joseph R. Biden,DEM,101,551,465,154,1170,50.63
President and Vice President,Joseph R. Biden,DEM,102,1233,946,134,2313,40.95
President and Vice President,Joseph R. Biden,DEM,201,1188,728,97,2013,36.87
President and Vice President,Joseph R. Biden,DEM,202,994,456,64,1514,36.91
President and Vice President,Joseph R. Biden,DEM,203,419,298,115,832,25.14
President and Vice President,Joseph R. Biden,DEM,204,1087,827,94,2008,32.07
President and Vice President,Joseph R. Biden,DEM,301,502,421,63,986,28.28
President and Vice President,Joseph R. Biden,DEM,302,485,529,98,1112,24.65
President and Vice President,Joseph R. Biden,DEM,303,409,308,111,828,21.90
President and Vice President,Joseph R. Biden,DEM,401,233,312,79,624,12.82
President and Vice President,Joseph R. Biden,DEM,402,-,-,-,67,5.21
President and Vice President,Joseph R. Biden,DEM,403,-,-,-,207,7.93
President and Vice President,Joseph R. Biden,DEM,501,308,426,71,805,30.96
President and Vice President,Joseph R. Biden,DEM,503,273,421,77,771,14.28
President and Vice President,Joseph R. Biden,DEM,504,133,145,33,311,9.49
President and Vice President,Jo Jorgensen,LPF,101,-,-,-,24,1.04
President and Vice President,Jo Jorgensen,LPF,102,-,-,-,50,0.89
President and Vice President,Jo Jorgensen,LPF,201,-,-,-,44,0.81
President and Vice President,Jo Jorgensen,LPF,202,-,-,-,21,0.51
President and Vice President,Jo Jorgensen,LPF,203,-,-,-,32,0.97
President and Vice President,Jo Jorgensen,LPF,204,-,-,-,78,1.25
President and Vice President,Jo Jorgensen,LPF,301,-,-,-,53,1.52
President and Vice President,Jo Jorgensen,LPF,302,-,-,-,60,1.33
President and Vice President,Jo Jorgensen,LPF,303,-,-,-,51,1.35
President and Vice President,Jo Jorgensen,LPF,401,-,-,-,26,0.53
President and Vice President,Jo Jorgensen,LPF,402,-,-,-,9,0.70
President and Vice President,Jo Jorgensen,LPF,403,-,-,-,18,0.69
President and Vice President,Jo Jorgensen,LPF,501,-,-,-,49,1.88
President and Vice President,Jo Jorgensen,LPF,503,-,-,-,33,0.61
President and Vice President,Jo Jorgensen,LPF,504,-,-,-,21,0.64
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,101,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,102,-,-,-,2,0.04
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,201,-,-,-,4,0.07
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,202,-,-,-,1,0.02
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,203,-,-,-,2,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,204,-,-,-,4,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,301,-,-,-,2,0.06
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,302,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,303,-,-,-,3,0.08
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,401,-,-,-,1,0.02
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,402,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,403,0,0,0,0,0.00
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,501,-,-,-,2,0.08
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,503,-,-,-,5,0.09
President and Vice President,"Roque ""Rocky"" De La Fuente",REF,504,-,-,-,2,0.06
President and Vice President,Gloria La Riva,PSL,101,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,102,-,-,-,1,0.02
President and Vice President,Gloria La Riva,PSL,201,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,202,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,203,-,-,-,3,0.09
President and Vice President,Gloria La Riva,PSL,204,-,-,-,1,0.02
President and Vice President,Gloria La Riva,PSL,301,-,-,-,1,0.03
President and Vice President,Gloria La Riva,PSL,302,-,-,-,3,0.07
President and Vice President,Gloria La Riva,PSL,303,-,-,-,1,0.03
President and Vice President,Gloria La Riva,PSL,401,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,402,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,403,-,-,-,1,0.04
President and Vice President,Gloria La Riva,PSL,501,0,0,0,0,0.00
President and Vice President,Gloria La Riva,PSL,503,-,-,-,1,0.02
President and Vice President,Gloria La Riva,PSL,504,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,101,-,-,-,1,0.04
President and Vice President,Howie Hawkins,GRE,102,-,-,-,1,0.02
President and Vice President,Howie Hawkins,GRE,201,-,-,-,6,0.11
President and Vice President,Howie Hawkins,GRE,202,-,-,-,1,0.02
President and Vice President,Howie Hawkins,GRE,203,-,-,-,4,0.12
President and Vice President,Howie Hawkins,GRE,204,-,-,-,4,0.06
President and Vice President,Howie Hawkins,GRE,301,-,-,-,7,0.20
President and Vice President,Howie Hawkins,GRE,302,-,-,-,1,0.02
President and Vice President,Howie Hawkins,GRE,303,-,-,-,1,0.03
President and Vice President,Howie Hawkins,GRE,401,-,-,-,7,0.14
President and Vice President,Howie Hawkins,GRE,402,0,0,0,0,0.00
President and Vice President,Howie Hawkins,GRE,403,-,-,-,2,0.08
President and Vice President,Howie Hawkins,GRE,501,-,-,-,5,0.19
President and Vice President,Howie Hawkins,GRE,503,-,-,-,2,0.04
President and Vice President,Howie Hawkins,GRE,504,-,-,-,1,0.03
President and Vice President,Don Blankenship,CPF,101,-,-,-,2,0.09
President and Vice President,Don Blankenship,CPF,102,-,-,-,2,0.04
President and Vice President,Don Blankenship,CPF,201,-,-,-,1,0.02
President and Vice President,Don Blankenship,CPF,202,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,203,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,204,-,-,-,4,0.06
President and Vice President,Don Blankenship,CPF,301,-,-,-,2,0.06
President and Vice President,Don Blankenship,CPF,302,-,-,-,4,0.09
President and Vice President,Don Blankenship,CPF,303,-,-,-,1,0.03
President and Vice President,Don Blankenship,CPF,401,-,-,-,1,0.02
President and Vice President,Don Blankenship,CPF,402,0,0,0,0,0.00
President and Vice President,Don Blankenship,CPF,403,-,-,-,2,0.08
President and Vice President,Don Blankenship,CPF,501,-,-,-,1,0.04
President and Vice President,Don Blankenship,CPF,503,-,-,-,4,0.07
President and Vice President,Don Blankenship,CPF,504,0,0,0,0,0.00
President and Vice President,WRITE-IN,,101,-,-,-,7,0.30
President and Vice President,WRITE-IN,,102,-,-,-,16,0.28
President and Vice President,WRITE-IN,,201,-,-,-,14,0.26
President and Vice President,WRITE-IN,,202,-,-,-,10,0.24
President and Vice President,WRITE-IN,,203,-,-,-,9,0.27
President and Vice President,WRITE-IN,,204,-,-,-,8,0.13
President and Vice President,WRITE-IN,,301,-,-,-,9,0.26
President and Vice President,WRITE-IN,,302,-,-,-,9,0.20
President and Vice President,WRITE-IN,,303,-,-,-,2,0.05
President and Vice President,WRITE-IN,,401,-,-,-,5,0.10
President and Vice President,WRITE-IN,,402,0,0,0,0,0.00
President and Vice President,WRITE-IN,,403,-,-,-,2,0.08
President and Vice President,WRITE-IN,,501,-,-,-,5,0.19
President and Vice President,WRITE-IN,,503,-,-,-,10,0.19
President and Vice President,WRITE-IN,,504,-,-,-,3,0.09
President and Vice President,OVER VOTES,STATS,101,-,-,-,3,0.13
President and Vice President,OVER VOTES,STATS,102,-,-,-,3,0.05
President and Vice President,OVER VOTES,STATS,201,-,-,-,3,0.05
President and Vice President,OVER VOTES,STATS,202,-,-,-,2,0.05
President and Vice President,OVER VOTES,STATS,203,-,-,-,5,0.15
President and Vice President,OVER VOTES,STATS,204,-,-,-,2,0.03
President and Vice President,OVER VOTES,STATS,301,-,-,-,5,0.14
President and Vice President,OVER VOTES,STATS,302,-,-,-,5,0.11
President and Vice President,OVER VOTES,STATS,303,-,-,-,2,0.05
President and Vice President,OVER VOTES,STATS,401,-,-,-,4,0.08
President and Vice President,OVER VOTES,STATS,402,0,0,0,0,0.00
President and Vice President,OVER VOTES,STATS,403,-,-,-,2,0.08
President and Vice President,OVER VOTES,STATS,501,0,0,0,0,0.00
President and Vice President,OVER VOTES,STATS,503,-,-,-,2,0.04
President and Vice President,OVER VOTES,STATS,504,-,-,-,4,0.12
President and Vice President,UNDER VOTES,STATS,101,-,-,-,4,0.17
President and Vice President,UNDER VOTES,STATS,102,-,-,-,22,0.39
President and Vice President,UNDER VOTES,STATS,201,-,-,-,23,0.42
President and Vice President,UNDER VOTES,STATS,202,-,-,-,24,0.59
President and Vice President,UNDER VOTES,STATS,203,-,-,-,10,0.30
President and Vice President,UNDER VOTES,STATS,204,-,-,-,20,0.32
President and Vice President,UNDER VOTES,STATS,301,-,-,-,9,0.26
President and Vice President,UNDER VOTES,STATS,302,-,-,-,3,0.07
President and Vice President,UNDER VOTES,STATS,303,-,-,-,8,0.21
President and Vice President,UNDER VOTES,STATS,401,-,-,-,7,0.14
President and Vice President,UNDER VOTES,STATS,402,0,0,0,0,0.00
President and Vice President,UNDER VOTES,STATS,403,-,-,-,6,0.23
President and Vice President,UNDER VOTES,STATS,501,-,-,-,3,0.12
President and Vice President,UNDER VOTES,STATS,503,-,-,-,8,0.15
