Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President/Vice President,Donald J. Trump/Michael R. Pence,REP,10 Richardson Comm Ctr,56,104,36,196,19.58
President/Vice President,Donald J. Trump/Michael R. Pence,REP,"12 Supv Elections ",-,-,-,62,14.25
President/Vice President,Donald J. Trump/Michael R. Pence,REP,13 Supv Elections,-,-,-,55,82.09
President/Vice President,Donald J. Trump/Michael R. Pence,REP,14  Supv Elections,45,78,35,158,58.09
President/Vice President,Donald J. Trump/Michael R. Pence,REP,15 Winfield Comm Ctr,83,198,142,423,80.11
President/Vice President,Donald J. Trump/Michael R. Pence,REP,16 Winfield Comm Ctr,282,486,337,1105,66.93
President/Vice President,Donald J. Trump/Michael R. Pence,REP,17  Richardson Comm Ctr,167,316,168,651,61.30
President/Vice President,Donald J. Trump/Michael R. Pence,REP,21 Westside Community Ctr,206,520,321,1047,77.33
President/Vice President,Donald J. Trump/Michael R. Pence,REP,22 Columbia City,286,759,296,1341,78.93
President/Vice President,Donald J. Trump/Michael R. Pence,REP,23 Ft White Comm Center,627,2294,600,3521,75.17
President/Vice President,Donald J. Trump/Michael R. Pence,REP,31 Westside Community Ctr,531,1093,495,2119,78.95
President/Vice President,Donald J. Trump/Michael R. Pence,REP,32 Winfield Comm Center,66,146,56,268,69.07
President/Vice President,Donald J. Trump/Michael R. Pence,REP,33 Southside Rec Complex,778,1684,556,3018,77.11
President/Vice President,Donald J. Trump/Michael R. Pence,REP,34 Supv Elections,132,273,99,504,61.09
President/Vice President,Donald J. Trump/Michael R. Pence,REP,41 Lulu Comm Center,400,745,347,1492,72.04
President/Vice President,Donald J. Trump/Michael R. Pence,REP,42 Lulu Comm Center,50,86,122,258,91.17
President/Vice President,Donald J. Trump/Michael R. Pence,REP,43 Mason City Comm Center,276,629,524,1429,82.51
President/Vice President,Donald J. Trump/Michael R. Pence,REP,44 Ft White Comm Center,310,711,247,1268,75.39
President/Vice President,Donald J. Trump/Michael R. Pence,REP,51 Southside Rec Complex,373,957,289,1619,74.37
President/Vice President,Donald J. Trump/Michael R. Pence,REP,52 Columbia City,395,1204,450,2049,82.49
President/Vice President,Donald J. Trump/Michael R. Pence,REP,53 Supv Elections Office,186,366,135,687,54.14
President/Vice President,Donald J. Trump/Michael R. Pence,REP,54 Supv Elections Office,183,294,89,566,68.19
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,10 Richardson Comm Ctr,360,253,183,796,79.52
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,"12 Supv Elections ",147,153,65,365,83.91
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,13 Supv Elections,-,-,-,11,16.42
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,14  Supv Elections,-,-,-,108,39.71
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,15 Winfield Comm Ctr,-,-,-,100,18.94
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,16 Winfield Comm Ctr,215,171,144,530,32.10
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,17  Richardson Comm Ctr,170,151,75,396,37.29
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,21 Westside Community Ctr,147,101,49,297,21.94
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,22 Columbia City,-,-,-,337,19.84
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,23 Ft White Comm Center,505,469,126,1100,23.48
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,31 Westside Community Ctr,272,199,73,544,20.27
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,32 Winfield Comm Center,-,-,-,119,30.67
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,33 Southside Rec Complex,422,336,108,866,22.13
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,34 Supv Elections,146,102,62,310,37.58
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,41 Lulu Comm Center,214,258,82,554,26.75
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,42 Lulu Comm Center,-,-,-,25,8.83
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,43 Mason City Comm Center,124,99,70,293,16.92
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,44 Ft White Comm Center,223,135,39,397,23.60
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,51 Southside Rec Complex,236,231,66,533,24.48
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,52 Columbia City,206,165,48,419,16.87
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,53 Supv Elections Office,227,229,104,560,44.13
President/Vice President,Joseph R. Biden/Kamala D. Harris,DEM,54 Supv Elections Office,145,79,30,254,30.60
President/Vice President,"Jo Jorgensen/Jeremy ""Spike"" Cohen",LPF,10 Richardson Comm Ctr,-,-,-,1,0.10
President/Vice President,"Jo Jorgensen/Jeremy ""Spike"" Cohen",LPF,"12 Supv Elections ",-,-,-,4,0.92
President/Vice President,"Jo Jorgensen/Jeremy ""Spike"" Cohen",LPF,13 Supv Elections,-,-,-,1,1.49
President/Vice President,"Jo Jorgensen/Jeremy ""Spike"" Cohen",LPF,14  Supv Elections,-,-,-,6,2.21
