Contest,Candidate Issue,Party,Precinct Name,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,"1 Doyle Conner Bldg ",222,80
President and Vice President,Donald J. Trump,REP,2 Ortona Community Center,295,80
President and Vice President,Donald J. Trump,REP,"3 Doyle Conner Bldg ",163,68
President and Vice President,Donald J. Trump,REP,4 Palmdale Community Center,163,87
President and Vice President,Donald J. Trump,REP,"5 Muse Community Center ",741,79
President and Vice President,Donald J. Trump,REP,6 Doyle Conner Bldg,143,36
President and Vice President,Donald J. Trump,REP,7 Lakeport Community Center,453,80
President and Vice President,Donald J. Trump,REP,"8 BHR Community Center ",727,77
President and Vice President,Donald J. Trump,REP,9 Lakeport Community Center,97,83
President and Vice President,Donald J. Trump,REP,10 Lakeport Community Center,90,54
President and Vice President,Donald J. Trump,REP,11 Doyle Conner Bldg,240,83
President and Vice President,Donald J. Trump,REP,12 Washington Park Comm. ctr.,3,3
President and Vice President,Donald J. Trump,REP,13 Indian Hills Fire Dept.,445,74
President and Vice President,"Joseph R. Biden ",DEM,"1 Doyle Conner Bldg ",56,20
President and Vice President,"Joseph R. Biden ",DEM,2 Ortona Community Center,71,19
President and Vice President,"Joseph R. Biden ",DEM,"3 Doyle Conner Bldg ",78,32
President and Vice President,"Joseph R. Biden ",DEM,4 Palmdale Community Center,25,13
President and Vice President,"Joseph R. Biden ",DEM,"5 Muse Community Center ",190,20
President and Vice President,"Joseph R. Biden ",DEM,6 Doyle Conner Bldg,251,63
President and Vice President,"Joseph R. Biden ",DEM,7 Lakeport Community Center,109,19
President and Vice President,"Joseph R. Biden ",DEM,"8 BHR Community Center ",217,23
President and Vice President,"Joseph R. Biden ",DEM,9 Lakeport Community Center,20,17
President and Vice President,"Joseph R. Biden ",DEM,10 Lakeport Community Center,75,45
President and Vice President,"Joseph R. Biden ",DEM,11 Doyle Conner Bldg,48,17
President and Vice President,"Joseph R. Biden ",DEM,12 Washington Park Comm. ctr.,96,97
President and Vice President,"Joseph R. Biden ",DEM,13 Indian Hills Fire Dept.,149,25
President and Vice President,Jo Jorgensen,LPF,"1 Doyle Conner Bldg ",1,0
President and Vice President,Jo Jorgensen,LPF,2 Ortona Community Center,4,1
President and Vice President,Jo Jorgensen,LPF,"3 Doyle Conner Bldg ",0,0
President and Vice President,Jo Jorgensen,LPF,4 Palmdale Community Center,0,0
President and Vice President,Jo Jorgensen,LPF,"5 Muse Community Center ",8,1
President and Vice President,Jo Jorgensen,LPF,6 Doyle Conner Bldg,0,0
President and Vice President,Jo Jorgensen,LPF,7 Lakeport Community Center,1,0
President and Vice President,Jo Jorgensen,LPF,"8 BHR Community Center ",2,0
President and Vice President,Jo Jorgensen,LPF,9 Lakeport Community Center,0,0
President and Vice President,Jo Jorgensen,LPF,10 Lakeport Community Center,0,0
President and Vice President,Jo Jorgensen,LPF,11 Doyle Conner Bldg,1,0
President and Vice President,Jo Jorgensen,LPF,12 Washington Park Comm. ctr.,0,0
President and Vice President,Jo Jorgensen,LPF,13 Indian Hills Fire Dept.,4,1
President and Vice President,Roque “Rocky” De La Fuente,REF,"1 Doyle Conner Bldg ",0,0
President and Vice President,Roque “Rocky” De La Fuente,REF,2 Ortona Community Center,0,0
President and Vice President,Roque “Rocky” De La Fuente,REF,"3 Doyle Conner Bldg ",0,0
President and Vice President,Roque “Rocky” De La Fuente,REF,4 Palmdale Community Center,0,0
President and Vice President,Roque “Rocky” De La Fuente,REF,"5 Muse Community Center ",0,0
President and Vice President,Roque “Rocky” De La Fuente,REF,6 Doyle Conner Bldg,0,0
President and Vice President,Roque “Rocky” De La Fuente,REF,7 Lakeport Community Center,0,0
President and Vice President,Roque “Rocky” De La Fuente,REF,"8 BHR Community Center ",0,0
President and Vice President,Roque “Rocky” De La Fuente,REF,9 Lakeport Community Center,0,0
President and Vice President,Roque “Rocky” De La Fuente,REF,10 Lakeport Community Center,0,0
President and Vice President,Roque “Rocky” De La Fuente,REF,11 Doyle Conner Bldg,0,0
President and Vice President,Roque “Rocky” De La Fuente,REF,12 Washington Park Comm. ctr.,0,0
President and Vice President,Roque “Rocky” De La Fuente,REF,13 Indian Hills Fire Dept.,0,0
President and Vice President,Gloria La Riva,PSL,"1 Doyle Conner Bldg ",0,0
President and Vice President,Gloria La Riva,PSL,2 Ortona Community Center,0,0
President and Vice President,Gloria La Riva,PSL,"3 Doyle Conner Bldg ",0,0
President and Vice President,Gloria La Riva,PSL,4 Palmdale Community Center,0,0
President and Vice President,Gloria La Riva,PSL,"5 Muse Community Center ",0,0
President and Vice President,Gloria La Riva,PSL,6 Doyle Conner Bldg,1,0
