Contest,Candidate Issue,Party,Precinct Name,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Donald J. Trump,REP,Precinct 1,-,-,-,36,85.71
President and Vice President,Donald J. Trump,REP,Precinct 2,61,109,130,300,31.75
President and Vice President,Donald J. Trump,REP,Precinct 3,194,386,255,835,76.96
President and Vice President,Donald J. Trump,REP,Precinct 4,-,-,-,22,88.00
President and Vice President,Donald J. Trump,REP,Precinct 5,752,1509,514,2775,65.22
President and Vice President,Donald J. Trump,REP,Precinct 6,238,422,181,841,64.10
President and Vice President,Donald J. Trump,REP,Precinct 7,381,561,159,1101,62.63
President and Vice President,Donald J. Trump,REP,Precinct 8,713,1273,476,2462,62.69
President and Vice President,Donald J. Trump,REP,Precinct 9,1039,1648,686,3373,62.95
President and Vice President,Donald J. Trump,REP,Precinct 10,1094,1592,694,3380,60.90
President and Vice President,Donald J. Trump,REP,Precinct 11,293,356,86,735,58.01
President and Vice President,Donald J. Trump,REP,Precinct 12,292,474,147,913,70.78
President and Vice President,Donald J. Trump,REP,Precinct 13,1703,1579,479,3761,60.80
President and Vice President,Donald J. Trump,REP,Precinct 14,663,446,114,1223,54.31
President and Vice President,Donald J. Trump,REP,Precinct 15,-,-,-,305,67.33
President and Vice President,Donald J. Trump,REP,Precinct 16,1201,742,366,2309,64.00
President and Vice President,Donald J. Trump,REP,Precinct 17,1019,854,487,2360,59.61
President and Vice President,Donald J. Trump,REP,Precinct 18,884,730,342,1956,63.88
President and Vice President,Donald J. Trump,REP,Precinct 19,664,849,427,1940,61.06
President and Vice President,Donald J. Trump,REP,Precinct 20,138,108,63,309,58.41
President and Vice President,Donald J. Trump,REP,Precinct 21,137,197,86,420,17.72
President and Vice President,Donald J. Trump,REP,Precinct 22,777,947,429,2153,61.37
President and Vice President,Donald J. Trump,REP,Precinct 23,376,457,264,1097,54.47
President and Vice President,Donald J. Trump,REP,Precinct 24,93,133,73,299,48.15
President and Vice President,Donald J. Trump,REP,Precinct 26,295,342,208,845,49.56
President and Vice President,Donald J. Trump,REP,Precinct 27,809,855,601,2265,60.42
President and Vice President,Donald J. Trump,REP,Precinct 28,2158,3074,1467,6699,58.30
President and Vice President,Donald J. Trump,REP,Precinct 29,45,41,50,136,72.73
President and Vice President,Donald J. Trump,REP,Precinct 30,594,785,422,1801,62.21
President and Vice President,Donald J. Trump,REP,Precinct 31,585,897,460,1942,65.17
President and Vice President,Donald J. Trump,REP,Precinct 32,1123,1651,799,3573,64.90
President and Vice President,Donald J. Trump,REP,Precinct 33,831,470,220,1521,61.33
President and Vice President,Donald J. Trump,REP,Precinct 34,719,835,606,2160,63.60
President and Vice President,Donald J. Trump,REP,Precinct 35,715,696,305,1716,61.86
President and Vice President,Donald J. Trump,REP,Precinct 36,471,701,137,1309,64.61
President and Vice President,Joseph R. Biden,DEM,Precinct 1,-,-,-,5,11.90
President and Vice President,Joseph R. Biden,DEM,Precinct 2,244,155,240,639,67.62
President and Vice President,Joseph R. Biden,DEM,Precinct 3,151,43,53,247,22.76
President and Vice President,Joseph R. Biden,DEM,Precinct 4,-,-,-,3,12.00
President and Vice President,Joseph R. Biden,DEM,Precinct 5,793,457,176,1426,33.51
President and Vice President,Joseph R. Biden,DEM,Precinct 6,295,127,35,457,34.83
President and Vice President,Joseph R. Biden,DEM,Precinct 7,408,184,48,640,36.41
President and Vice President,Joseph R. Biden,DEM,Precinct 8,827,459,133,1419,36.13
President and Vice President,Joseph R. Biden,DEM,Precinct 9,1179,591,175,1945,36.30
President and Vice President,Joseph R. Biden,DEM,Precinct 10,1289,621,211,2121,38.22
President and Vice President,Joseph R. Biden,DEM,Precinct 11,335,157,35,527,41.59
President and Vice President,Joseph R. Biden,DEM,Precinct 12,228,107,36,371,28.76
President and Vice President,Joseph R. Biden,DEM,Precinct 13,1708,548,122,2378,38.44
President and Vice President,Joseph R. Biden,DEM,Precinct 14,759,212,34,1005,44.63
President and Vice President,Joseph R. Biden,DEM,Precinct 15,-,-,-,144,31.79
President and Vice President,Joseph R. Biden,DEM,Precinct 16,950,234,82,1266,35.09
President and Vice President,Joseph R. Biden,DEM,Precinct 17,1083,342,125,1550,39.15
President and Vice President,Joseph R. Biden,DEM,Precinct 18,776,258,48,1082,35.34
President and Vice President,Joseph R. Biden,DEM,Precinct 19,717,358,129,1204,37.90
President and Vice President,Joseph R. Biden,DEM,Precinct 20,-,-,-,214,40.45
President and Vice President,Joseph R. Biden,DEM,Precinct 21,830,750,346,1926,81.27
President and Vice President,Joseph R. Biden,DEM,Precinct 22,901,310,110,1321,37.66
President and Vice President,Joseph R. Biden,DEM,Precinct 23,497,268,122,887,44.04
President and Vice President,Joseph R. Biden,DEM,Precinct 24,178,76,58,312,50.24
President and Vice President,Joseph R. Biden,DEM,Precinct 26,507,215,124,846,49.62
President and Vice President,Joseph R. Biden,DEM,Precinct 27,883,370,174,1427,38.06
President and Vice President,Joseph R. Biden,DEM,Precinct 28,2673,1414,562,4649,40.46
President and Vice President,Joseph R. Biden,DEM,Precinct 29,-,-,-,51,27.27
President and Vice President,Joseph R. Biden,DEM,Precinct 30,631,280,126,1037,35.82
President and Vice President,Joseph R. Biden,DEM,Precinct 31,613,296,98,1007,33.79
President and Vice President,Joseph R. Biden,DEM,Precinct 32,1181,546,143,1870,33.97
President and Vice President,Joseph R. Biden,DEM,Precinct 33,738,153,41,932,37.58
President and Vice President,Joseph R. Biden,DEM,Precinct 34,795,268,140,1203,35.42
President and Vice President,Joseph R. Biden,DEM,Precinct 35,772,213,57,1042,37.56
President and Vice President,Joseph R. Biden,DEM,Precinct 36,458,201,32,691,34.11
