Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President," Trump and Pence",REP,Ponce de Leon,0,173,259,416,848,86.62
President and Vice President," Trump and Pence",REP,Pine Log,0,226,216,432,874,90.01
President and Vice President," Trump and Pence",REP,New Hope,0,169,109,405,683,89.28
President and Vice President," Trump and Pence",REP,Bethlehem,0,301,431,420,1152,89.51
President and Vice President," Trump and Pence",REP,Gritney,0,78,161,213,452,93.78
President and Vice President," Trump and Pence",REP,Noma,-,-,-,-,1810,92.21
President and Vice President," Trump and Pence",REP,West Bonifay,-,-,-,-,1356,88.69
President and Vice President," Trump and Pence",REP,East Bonifay,-,-,-,-,905,82.12
President and Vice President," Biden and Harris",DEM,Ponce de Leon,-,-,-,-,110,11.24
President and Vice President," Biden and Harris",DEM,Pine Log,-,-,-,-,91,9.37
President and Vice President," Biden and Harris",DEM,New Hope,-,-,-,-,76,9.93
President and Vice President," Biden and Harris",DEM,Bethlehem,-,-,-,-,127,9.87
President and Vice President," Biden and Harris",DEM,Gritney,-,-,-,-,28,5.81
President and Vice President," Biden and Harris",DEM,Noma,0,65,40,38,143,7.28
President and Vice President," Biden and Harris",DEM,West Bonifay,-,-,-,-,161,10.53
President and Vice President," Biden and Harris",DEM,East Bonifay,0,71,75,42,188,17.06
President and Vice President," Jorgensen and Cohen",LPF,Ponce de Leon,-,-,-,-,15,1.53
President and Vice President," Jorgensen and Cohen",LPF,Pine Log,-,-,-,-,4,0.41
President and Vice President," Jorgensen and Cohen",LPF,New Hope,-,-,-,-,5,0.65
President and Vice President," Jorgensen and Cohen",LPF,Bethlehem,-,-,-,-,5,0.39
President and Vice President," Jorgensen and Cohen",LPF,Gritney,0,0,0,0,0,0.00
President and Vice President," Jorgensen and Cohen",LPF,Noma,-,-,-,-,6,0.31
President and Vice President," Jorgensen and Cohen",LPF,West Bonifay,-,-,-,-,5,0.33
President and Vice President," Jorgensen and Cohen",LPF,East Bonifay,-,-,-,-,8,0.73
President and Vice President," De La Fuente and Richardson",REF,Ponce de Leon,-,-,-,-,1,0.10
President and Vice President," De La Fuente and Richardson",REF,Pine Log,-,-,-,-,1,0.10
President and Vice President," De La Fuente and Richardson",REF,New Hope,0,0,0,0,0,0.00
President and Vice President," De La Fuente and Richardson",REF,Bethlehem,0,0,0,0,0,0.00
President and Vice President," De La Fuente and Richardson",REF,Gritney,0,0,0,0,0,0.00
President and Vice President," De La Fuente and Richardson",REF,Noma,0,0,0,0,0,0.00
President and Vice President," De La Fuente and Richardson",REF,West Bonifay,0,0,0,0,0,0.00
President and Vice President," De La Fuente and Richardson",REF,East Bonifay,0,0,0,0,0,0.00
President and Vice President," La Riva and Freeman",PSL,Ponce de Leon,0,0,0,0,0,0.00
President and Vice President," La Riva and Freeman",PSL,Pine Log,0,0,0,0,0,0.00
President and Vice President," La Riva and Freeman",PSL,New Hope,0,0,0,0,0,0.00
President and Vice President," La Riva and Freeman",PSL,Bethlehem,0,0,0,0,0,0.00
President and Vice President," La Riva and Freeman",PSL,Gritney,0,0,0,0,0,0.00
President and Vice President," La Riva and Freeman",PSL,Noma,-,-,-,-,1,0.05
President and Vice President," La Riva and Freeman",PSL,West Bonifay,0,0,0,0,0,0.00
President and Vice President," La Riva and Freeman",PSL,East Bonifay,0,0,0,0,0,0.00
President and Vice President," Hawkins and Walker",GRE,Ponce de Leon,-,-,-,-,1,0.10
President and Vice President," Hawkins and Walker",GRE,Pine Log,-,-,-,-,1,0.10
President and Vice President," Hawkins and Walker",GRE,New Hope,0,0,0,0,0,0.00
President and Vice President," Hawkins and Walker",GRE,Bethlehem,-,-,-,-,2,0.16
President and Vice President," Hawkins and Walker",GRE,Gritney,-,-,-,-,1,0.21
President and Vice President," Hawkins and Walker",GRE,Noma,-,-,-,-,2,0.10
President and Vice President," Hawkins and Walker",GRE,West Bonifay,-,-,-,-,2,0.13
President and Vice President," Hawkins and Walker",GRE,East Bonifay,0,0,0,0,0,0.00
President and Vice President," Blankenship and Mohr",CPF,Ponce de Leon,0,0,0,0,0,0.00
President and Vice President," Blankenship and Mohr",CPF,Pine Log,0,0,0,0,0,0.00
President and Vice President," Blankenship and Mohr",CPF,New Hope,-,-,-,-,1,0.13
President and Vice President," Blankenship and Mohr",CPF,Bethlehem,0,0,0,0,0,0.00
President and Vice President," Blankenship and Mohr",CPF,Gritney,-,-,-,-,1,0.21
President and Vice President," Blankenship and Mohr",CPF,Noma,0,0,0,0,0,0.00
President and Vice President," Blankenship and Mohr",CPF,West Bonifay,-,-,-,-,1,0.07
President and Vice President," Blankenship and Mohr",CPF,East Bonifay,-,-,-,-,1,0.09
President and Vice President,WRITE-IN,NON,Ponce de Leon,-,-,-,-,4,0.41
President and Vice President,WRITE-IN,NON,Pine Log,0,0,0,0,0,0.00
President and Vice President,WRITE-IN,NON,New Hope,0,0,0,0,0,0.00
President and Vice President,WRITE-IN,NON,Bethlehem,-,-,-,-,1,0.08
President and Vice President,WRITE-IN,NON,Gritney,0,0,0,0,0,0.00
President and Vice President,WRITE-IN,NON,Noma,-,-,-,-,1,0.05
President and Vice President,WRITE-IN,NON,West Bonifay,-,-,-,-,4,0.26
President and Vice President,WRITE-IN,NON,East Bonifay,0,0,0,0,0,0.00
Representative in Congress District 1,Matt Gaetz,REP,Ponce de Leon,0,171,252,403,826,85.68
Representative in Congress District 1,Matt Gaetz,REP,Pine Log,0,218,216,419,853,89.41
Representative in Congress District 1,Matt Gaetz,REP,New Hope,0,156,103,385,644,86.56
Representative in Congress District 1,Matt Gaetz,REP,Bethlehem,0,290,413,402,1105,88.33
Representative in Congress District 1,Matt Gaetz,REP,Gritney,0,72,151,193,416,89.08
Representative in Congress District 1,Matt Gaetz,REP,Noma,-,-,-,-,1148,89.13
Representative in Congress District 1,Phil Ehr,DEM,Ponce de Leon,-,-,-,-,117,12.14
Representative in Congress District 1,Phil Ehr,DEM,Pine Log,-,-,-,-,95,9.96
Representative in Congress District 1,Phil Ehr,DEM,New Hope,-,-,-,-,92,12.37
Representative in Congress District 1,Phil Ehr,DEM,Bethlehem,-,-,-,-,129,10.31
Representative in Congress District 1,Phil Ehr,DEM,Gritney,-,-,-,-,37,7.92
Representative in Congress District 1,Phil Ehr,DEM,Noma,0,45,33,39,117,9.08
Representative in Congress District 1,Albert Oram,NPA,Ponce de Leon,-,-,-,-,21,2.18
Representative in Congress District 1,Albert Oram,NPA,Pine Log,-,-,-,-,6,0.63
Representative in Congress District 1,Albert Oram,NPA,New Hope,-,-,-,-,8,1.08
Representative in Congress District 1,Albert Oram,NPA,Bethlehem,-,-,-,-,17,1.36
Representative in Congress District 1,Albert Oram,NPA,Gritney,-,-,-,-,14,3.00
