Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President/Vice President,Trump/Pence,REP,Levy County Ag Extension Office,0,320,655,236,1211,68.07
President/Vice President,Trump/Pence,REP,Williston Highlands,-,-,-,-,1705,72.03
President/Vice President,Trump/Pence,REP," Bronson Dogan Cobb Building",-,-,-,-,1971,70.52
President/Vice President,Trump/Pence,REP,Cedar Key Community Center,0,204,136,393,733,66.33
President/Vice President,Trump/Pence,REP,Tommy Usher Center,-,-,-,-,2130,81.39
President/Vice President,Trump/Pence,REP,Gulf Hammock Church of God,-,-,-,-,330,82.50
President/Vice President,Trump/Pence,REP,Williston City Hall,-,-,-,-,1269,55.54
President/Vice President,Trump/Pence,REP,Morriston Baptist Church,-,-,-,-,2031,76.93
President/Vice President,Trump/Pence,REP,Inglis Community Center,-,-,-,-,1587,76.37
President/Vice President,Trump/Pence,REP,Pine Grove Baptist Church,0,187,219,294,700,83.43
President/Vice President,Trump/Pence,REP,Miracle Vision Tabernacle,0,193,320,219,732,66.36
President/Vice President,Trump/Pence,REP,Fanning Springs City Hall,-,-,-,-,1236,78.73
President/Vice President,Trump/Pence,REP,Tommy Usher Center,-,-,-,-,1114,69.32
President/Vice President,Biden/Harris,DEM,Levy County Ag Extension Office,-,-,-,-,537,30.19
President/Vice President,Biden/Harris,DEM,Williston Highlands,-,-,-,-,630,26.62
President/Vice President,Biden/Harris,DEM," Bronson Dogan Cobb Building",-,-,-,-,790,28.26
President/Vice President,Biden/Harris,DEM,Cedar Key Community Center,0,190,51,119,360,32.58
President/Vice President,Biden/Harris,DEM,Tommy Usher Center,-,-,-,-,469,17.92
President/Vice President,Biden/Harris,DEM,Gulf Hammock Church of God,-,-,-,-,69,17.25
President/Vice President,Biden/Harris,DEM,Williston City Hall,-,-,-,-,997,43.63
President/Vice President,Biden/Harris,DEM,Morriston Baptist Church,-,-,-,-,593,22.46
President/Vice President,Biden/Harris,DEM,Inglis Community Center,0,269,41,165,475,22.86
President/Vice President,Biden/Harris,DEM,Pine Grove Baptist Church,-,-,-,-,131,15.61
President/Vice President,Biden/Harris,DEM,Miracle Vision Tabernacle,0,146,112,104,362,32.82
President/Vice President,Biden/Harris,DEM,Fanning Springs City Hall,-,-,-,-,316,20.13
President/Vice President,Biden/Harris,DEM,Tommy Usher Center,-,-,-,-,476,29.62
President/Vice President,Jorgensen/Cohen,LPF,Levy County Ag Extension Office,-,-,-,-,21,1.18
President/Vice President,Jorgensen/Cohen,LPF,Williston Highlands,-,-,-,-,16,0.68
President/Vice President,Jorgensen/Cohen,LPF," Bronson Dogan Cobb Building",-,-,-,-,14,0.50
President/Vice President,Jorgensen/Cohen,LPF,Cedar Key Community Center,-,-,-,-,4,0.36
President/Vice President,Jorgensen/Cohen,LPF,Tommy Usher Center,-,-,-,-,9,0.34
President/Vice President,Jorgensen/Cohen,LPF,Gulf Hammock Church of God,-,-,-,-,1,0.25
President/Vice President,Jorgensen/Cohen,LPF,Williston City Hall,-,-,-,-,13,0.57
President/Vice President,Jorgensen/Cohen,LPF,Morriston Baptist Church,-,-,-,-,9,0.34
President/Vice President,Jorgensen/Cohen,LPF,Inglis Community Center,-,-,-,-,9,0.43
President/Vice President,Jorgensen/Cohen,LPF,Pine Grove Baptist Church,-,-,-,-,5,0.60
President/Vice President,Jorgensen/Cohen,LPF,Miracle Vision Tabernacle,-,-,-,-,4,0.36
President/Vice President,Jorgensen/Cohen,LPF,Fanning Springs City Hall,-,-,-,-,14,0.89
President/Vice President,Jorgensen/Cohen,LPF,Tommy Usher Center,-,-,-,-,12,0.75
President/Vice President,De La Fuente/Richardson,REF,Levy County Ag Extension Office,-,-,-,-,2,0.11
President/Vice President,De La Fuente/Richardson,REF,Williston Highlands,-,-,-,-,1,0.04
