Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Trump and Pence,REP,CARYVILLE TOWN HALL,0,36,69,80,185,55.06
President and Vice President,Trump and Pence,REP,FIVE POINT COMMUNITY CENTER,0,184,291,260,735,91.88
President and Vice President,Trump and Pence,REP,HINSON CROSSROADS FIRE STATION,0,68,173,184,425,88.91
President and Vice President,Trump and Pence,REP,"AGRICULTURE CENTER - CHIPLEY  ",0,493,1351,420,2264,80.80
President and Vice President,Trump and Pence,REP,VERNON CITY HALL,0,198,528,230,956,80.88
President and Vice President,Trump and Pence,REP,NEW HOPE-CAMPBELL PARK,0,56,119,84,259,52.86
President and Vice President,Trump and Pence,REP,ORANGE HILL FIRE STATION,0,183,467,357,1007,84.62
President and Vice President,Trump and Pence,REP,ARMORY - CHIPLEY,0,166,555,167,888,73.21
President and Vice President,Trump and Pence,REP,WAUSAU TOWN HALL,0,135,282,238,655,81.47
President and Vice President,Trump and Pence,REP,EBRO CITY HALL,-,-,-,-,185,59.29
President and Vice President,Trump and Pence,REP,GREENHEAD,0,349,660,513,1522,87.27
President and Vice President,Trump and Pence,REP,"SUNNY HILLS COMMUNITY CENTER  ",0,173,289,333,795,80.79
President and Vice President,Biden and Harris,DEM,CARYVILLE TOWN HALL,0,61,49,31,141,41.96
President and Vice President,Biden and Harris,DEM,FIVE POINT COMMUNITY CENTER,-,-,-,-,59,7.38
President and Vice President,Biden and Harris,DEM,HINSON CROSSROADS FIRE STATION,-,-,-,-,51,10.67
President and Vice President,Biden and Harris,DEM,"AGRICULTURE CENTER - CHIPLEY  ",0,199,245,68,512,18.27
President and Vice President,Biden and Harris,DEM,VERNON CITY HALL,-,-,-,-,210,17.77
President and Vice President,Biden and Harris,DEM,NEW HOPE-CAMPBELL PARK,0,61,106,60,227,46.33
President and Vice President,Biden and Harris,DEM,ORANGE HILL FIRE STATION,0,72,58,44,174,14.62
President and Vice President,Biden and Harris,DEM,ARMORY - CHIPLEY,0,121,154,43,318,26.22
President and Vice President,Biden and Harris,DEM,WAUSAU TOWN HALL,0,62,35,42,139,17.29
President and Vice President,Biden and Harris,DEM,EBRO CITY HALL,-,-,-,-,126,40.38
President and Vice President,Biden and Harris,DEM,GREENHEAD,0,92,80,38,210,12.04
President and Vice President,Biden and Harris,DEM,"SUNNY HILLS COMMUNITY CENTER  ",0,84,49,47,180,18.29
President and Vice President,Jorgensen and Cohen,LPF,CARYVILLE TOWN HALL,-,-,-,-,9,2.68
President and Vice President,Jorgensen and Cohen,LPF,FIVE POINT COMMUNITY CENTER,-,-,-,-,4,0.50
President and Vice President,Jorgensen and Cohen,LPF,HINSON CROSSROADS FIRE STATION,0,0,0,0,0,0.00
President and Vice President,Jorgensen and Cohen,LPF,"AGRICULTURE CENTER - CHIPLEY  ",-,-,-,-,18,0.64
President and Vice President,Jorgensen and Cohen,LPF,VERNON CITY HALL,-,-,-,-,11,0.93
President and Vice President,Jorgensen and Cohen,LPF,NEW HOPE-CAMPBELL PARK,-,-,-,-,1,0.20
President and Vice President,Jorgensen and Cohen,LPF,ORANGE HILL FIRE STATION,-,-,-,-,5,0.42
President and Vice President,Jorgensen and Cohen,LPF,ARMORY - CHIPLEY,-,-,-,-,2,0.16
President and Vice President,Jorgensen and Cohen,LPF,WAUSAU TOWN HALL,-,-,-,-,8,1.00
President and Vice President,Jorgensen and Cohen,LPF,EBRO CITY HALL,-,-,-,-,1,0.32
President and Vice President,Jorgensen and Cohen,LPF,GREENHEAD,-,-,-,-,5,0.29
