Contest,Candidate Issue,Party,Precinct Name,Provisional Votes,Mail Votes,Early Votes,Election Day Votes,Total Votes,% of Total Votes
President and Vice President,Trump and Pence,REP,001,0,111,393,94,598,25.84
President and Vice President,Trump and Pence,REP,002,0,402,1027,330,1759,67.21
President and Vice President,Trump and Pence,REP,003,0,441,931,311,1683,71.86
President and Vice President,Trump and Pence,REP,004,-,-,-,-,62,42.76
President and Vice President,Trump and Pence,REP,005,-,-,-,-,245,76.09
President and Vice President,Trump and Pence,REP,006,0,170,452,170,792,66.55
President and Vice President,Trump and Pence,REP,007,0,262,797,238,1297,78.46
President and Vice President,Trump and Pence,REP,008,0,85,130,157,372,75.46
President and Vice President,Trump and Pence,REP,009,0,106,347,151,604,56.55
President and Vice President,Trump and Pence,REP,010,0,97,213,184,494,60.84
President and Vice President,Biden and Harris,DEM,001,0,380,1019,290,1689,72.99
President and Vice President,Biden and Harris,DEM,002,0,312,372,151,835,31.91
President and Vice President,Biden and Harris,DEM,003,0,286,257,97,640,27.33
President and Vice President,Biden and Harris,DEM,004,-,-,-,-,81,55.86
President and Vice President,Biden and Harris,DEM,005,-,-,-,-,75,23.29
President and Vice President,Biden and Harris,DEM,006,0,122,176,90,388,32.61
President and Vice President,Biden and Harris,DEM,007,0,111,156,82,349,21.11
President and Vice President,Biden and Harris,DEM,008,-,-,-,-,111,22.52
President and Vice President,Biden and Harris,DEM,009,0,133,205,114,452,42.32
President and Vice President,Biden and Harris,DEM,010,0,115,104,90,309,38.05
President and Vice President,Jorgensen and Cohen,LPF,001,-,-,-,-,7,0.30
President and Vice President,Jorgensen and Cohen,LPF,002,-,-,-,-,13,0.50
President and Vice President,Jorgensen and Cohen,LPF,003,-,-,-,-,12,0.51
President and Vice President,Jorgensen and Cohen,LPF,004,0,0,0,0,0,0.00
President and Vice President,Jorgensen and Cohen,LPF,005,-,-,-,-,2,0.62
President and Vice President,Jorgensen and Cohen,LPF,006,-,-,-,-,8,0.67
President and Vice President,Jorgensen and Cohen,LPF,007,-,-,-,-,7,0.42
President and Vice President,Jorgensen and Cohen,LPF,008,-,-,-,-,7,1.42
President and Vice President,Jorgensen and Cohen,LPF,009,-,-,-,-,6,0.56
President and Vice President,Jorgensen and Cohen,LPF,010,-,-,-,-,3,0.37
President and Vice President,De La Fuente and Richardson,REF,001,-,-,-,-,5,0.22
President and Vice President,De La Fuente and Richardson,REF,002,-,-,-,-,2,0.08
